"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0M95","Q112","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 112 - QUEENS","25-05 37 AVENUE","49307","2016-03-21T00:00:00.000","4","11101","40.756891","-73.934523","1","26","33","4004170","4003440001","Queensbridge-Ravenswood-Long Island City                                   "
"0M96","Q115","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 115 - QUEENS","80-51 261 STREET","69273","2016-03-21T00:00:00.000","4","11004","40.744099","-73.709845","13","23","157902","4178127","4087170001","Glen Oaks-Floral Park-New Hyde Park                                        "
"0M97","Q116","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 116 - QUEENS","107-25 WREN PLACE","153382","2016-03-21T00:00:00.000","4","11433","40.700606","-73.782302","12","27","414","4218416","4102500001","South Jamaica                                                              "
"0MBD","X143","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 244 - BRONX","120 WEST 231 STREET","79152","2016-03-21T00:00:00.000","2","10463","40.875911","-73.901099","8","14","273","2015547","2032530141","Van Cortlandt Village                                                      "
"0MBE","X151","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 31 - BRONX","250 EAST 156 STREET","128625","2016-03-21T00:00:00.000","2","10451","40.82316","-73.921631","4","17","61","2002458","2024430190","East Concourse-Concourse Village                                           "
"0M7E","M125","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 125 - MANHATTAN","425 WEST 123 STREET","49490","2016-03-21T00:00:00.000","1","10027","40.810431","-73.955809","9","7","20901","1059526","1019640012","Morningside Heights                                                        "
"0M7F","M126","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 126 - MANHATTAN","80 CATHERINE STREET","59385","2016-03-21T00:00:00.000","1","10038","40.710729","-73.996631","3","1","25","1083357","1001110160","Chinatown                                                                  "
"0M7G","M130","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 130 - MANHATTAN","143 BAXTER STREET","49494","2016-03-21T00:00:00.000","1","10013","40.718903","-73.998438","2","1","41","1003086","1002360038","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"0M7H","M131","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 131 - MANHATTAN","100 HESTER STREET","59397","2016-03-21T00:00:00.000","1","10002","40.716553","-73.993092","3","1","16","1082489","1003010003","Chinatown                                                                  "
"0M7I","M142","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 142 - MANHATTAN","100 ATTORNEY STREET","39596","2016-03-21T00:00:00.000","1","10002","40.718383","-73.984452","3","1","1402","1004080","1003430001","Lower East Side                                                            "
"0M7J","M144","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 242 - MANHATTAN","134 WEST 122 STREET","98997","2016-03-21T00:00:00.000","1","10027","40.8063","-73.948013","10","9","220","1057683","1019060011","Central Harlem South                                                       "
"0M7K","M153","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 153 - MANHATTAN","1750 AMSTERDAM AVENUE","47965","2016-03-21T00:00:00.000","1","10031","40.826295","-73.946845","9","7","233","1081834","1020780019","Hamilton Heights                                                           "
"0M7L","M169","Indoor Building Improvement - Computer room wiring to upgrade computer labs","M169 SPED - MANHATTAN","110 EAST 88 STREET","34522","2016-03-21T00:00:00.000","1","10128","40.781227","-73.955673","8","4","14802","1048043","1015167502","Upper East Side-Carnegie Hill                                              "
"0M7M","M173","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 349 - MANHATTAN","306 FORT WASHINGTON AVE","49498","2016-03-21T00:00:00.000","1","10033","40.845469","-73.940468","12","10","263","1063503","1021420154","Washington Heights South                                                   "
"0M7N","M176","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 314 - MANHATTAN","4862 BROADWAY","49500","2016-03-21T00:00:00.000","1","10034","40.866706","-73.923948","12","10","291","1064900","1022340007","Marble Hill-Inwood                                                         "
"0M7Q","M190","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 290 - MANHATTAN","311 EAST 82 STREET","39478","2016-03-21T00:00:00.000","1","10028","40.775078","-73.953096","8","5","138","1049876","1015450005","Yorkville                                                                  "
"0M7R","M192","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 192 - MANHATTAN","500 WEST 138 STREET","49297","2016-03-21T00:00:00.000","1","10031","40.820953","-73.951145","9","7","22301","1084132","1019880166","Manhattanville                                                             "
"0M7Z","M445","Indoor Building Improvement - Computer room wiring to upgrade computer labs","NEW DESIGN HS - MANHATTAN","350 GRAND STREET","59397","2016-03-21T00:00:00.000","1","10002","40.716778","-73.989337","3","1","18","1005283","1004080030","Chinatown                                                                  "
"0M80","M520","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BERGTRAUM HS - MANHATTAN","411 PEARL STREET","59398","2016-03-21T00:00:00.000","1","10038","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  "
"0M81","M528","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 528 - MANHATTAN","180 WADSWORTH AVENUE","49498","2016-03-21T00:00:00.000","1","10033","40.85051","-73.934485","12","10","271","1063928","1021640032","Washington Heights North                                                   "
"0M82","M615","Indoor Building Improvement - Computer room wiring to upgrade computer labs","NYC ISCHOOL - MANHATTAN","131 AVE OF THE AMERICAS","49491","2016-03-21T00:00:00.000","1","10013","40.7244","-74.004625","2","3","37","1007378","1004910016","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"0M83","M660","Indoor Building Improvement - Computer room wiring to upgrade computer labs","SCHOOL OF THE FUTURE - MANHATT","127 EAST 22 STREET","34644","2016-03-21T00:00:00.000","1","10010","40.738952","-73.985479","5","2","68","1018014","1008780016","Gramercy                                                                   "
"0M84","X073","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 73 - BRONX","1020 ANDERSON AVENUE","48274","2016-03-21T00:00:00.000","2","10452","40.832706","-73.926838","4","8","189","2003051","2025040082","Highbridge                                                                 "
"0M85","X040","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 179 - BRONX","468 EAST 140 STREET","43595","2016-03-21T00:00:00.000","2","10454","40.809534","-73.919903","1","8","39","2000308","2022840034","Mott Haven-Port Morris                                                     "
"0M86","Q002","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 2 - QUEENS","75-10 21 AVENUE","74249","2016-03-21T00:00:00.000","4","11370","40.770335","-73.894476","1","22","317","4021375","4009710001","Steinway                                                                   "
"0M87","Q003","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 303 - QUEENS","108-55 69TH AVENUE","145872","2016-03-21T00:00:00.000","4","11375","40.725098","-73.845091","6","29","739","4052265","4022180021","Forest Hills                                                               "
"0M88","Q005","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q009 SPED - QUEENS","50-40 JACOBUS STREET","96809","2016-03-21T00:00:00.000","4","11373","40.737718","-73.887429","4","25","489","4454423","4024500017","Elmhurst-Maspeth                                                           "
"0M8B","Q007","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 7 - QUEENS","80-55 CORNISH AVE","197839","2016-03-21T00:00:00.000","4","11373","40.739115","-73.882487","4","25","485","4467710","4015380075","Elmhurst-Maspeth                                                           "
"0LVT","Q452","Gymnasium Upgrade","LONG ISLAND CITY HS - Q","14-30 BROADWAY","12737","2016-03-21T00:00:00.000","4","11106","40.765826","-73.9328","1","22","45","4467709","4005290002","Astoria                                                                    "
"0M8C","Q168","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q255 SPED - QUEENS","158-40 76 ROAD","49373","2016-03-21T00:00:00.000","4","11366","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"0M8D","Q008","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 8 - QUEENS","108-35 167 STREET","139912","2016-03-21T00:00:00.000","4","11433","40.69719","-73.787192","12","27","258","4216655","4101780001","South Jamaica                                                              "
"0M8E","Q009","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q009 SPED - QUEENS","58-74 57 STREET","33930","2016-03-21T00:00:00.000","4","11378","40.718935","-73.912208","5","30","535","4059130","4026310106","Maspeth                                                                    "
"0M8F","Q009","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q009 SPED - QUEENS","58-74 57 STREET","34650","2016-03-21T00:00:00.000","4","11378","40.718935","-73.912208","5","30","535","4059130","4026310106","Maspeth                                                                    "
"0M8G","Q010","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 10 - QUEENS","45-11 31 AVENUE","75214","2016-03-21T00:00:00.000","4","11103","40.759363","-73.912902","1","22","151","4012664","4007140001","Astoria                                                                    "
"0M8H","Q011","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 11 - QUEENS","54-25 SKILLMAN AVENUE","74245","2016-03-21T00:00:00.000","4","11377","40.745244","-73.90872","2","26","251","4552510","4012390001","Woodside                                                                   "
