straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
John F Kennedylaan 043;93112;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;043;;Gemeente Eindhoven;161715.958;384643.915;;LED50/740 DM12;2020-04-21;2045-01-25;LED;wit;31;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.483816072211523, 51.45083955133591], ""type"": ""Point""}";51.45083955133591, 5.483816072211523;51.4508398885643, 5.483817380323672
John F Kennedylaan 053;93117;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;053;;Gemeente Eindhoven;161781.029;384785.149;;LED139/740 DM33;2019-12-06;2044-09-20;LED;wit;81;16900;70;LED;in40lux 100% - 19:00;A;BGP762;2019-12-06;2039-12-06;1100;;;ST 11 V-100.T.115;2019-12-06;2059-12-06;;ST ENKEL 100 X 162 V;2019-12-06;2059-12-06;"{""coordinates"": [5.484754907586413, 51.45210827354382], ""type"": ""Point""}";51.45210827354382, 5.484754907586413;51.45210861261513, 5.484756219547623
John F Kennedylaan 055;93118;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;055;;Gemeente Eindhoven;161789.55;384810.04;;LED120/740 I DX50 DG;2017-09-25;2042-05-23;LED;wit;82;12000;70;LED;in40lux 100% - 19:00;A;BGP762 LED120/740 I;2017-09-25;2037-09-25;1100;1;;ST 11 V-100.T.115;1985-01-01;2025-01-01;;ST ENKEL 1,50 M LOS;1985-01-01;2025-01-01;"{""coordinates"": [5.484877974426785, 51.45233190720658], ""type"": ""Point""}";51.45233190720658, 5.484877974426785;51.45233224658656, 5.4848792872369545
Neckerspoel 008;93121;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;008;;Gemeente Eindhoven;161324.419;383895.547;1;SON PIA PLUS 150W;2021-11-01;2026-10-17;son;geel;150;17000;25;E40;in40lux 100% - 19:00;B;SGS203 SON 150 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST DUBBEL 1,50 M L.;1990-01-01;2030-01-01;"{""coordinates"": [5.478169927708543, 51.44411726946238], ""type"": ""Point""}";51.44411726946238, 5.478169927708543;51.444117597134635, 5.47817121504017
Neckerspoel 009;93122;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;009;;Gemeente Eindhoven;161347.69;383903.36;1;SON PIA PLUS 150W;2019-12-13;2024-11-28;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST DUBBEL 1,50 M L.;1990-01-01;2030-01-01;"{""coordinates"": [5.4785047983212225, 51.44418723577282], ""type"": ""Point""}";51.44418723577282, 5.4785047983212225;51.44418756362093, 5.478506084868704
Neckerspoel 009;93123;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;009;;Gemeente Eindhoven;161347.69;383903.36;1;SON PIA PLUS 150W;2019-12-13;2024-11-28;son;geel;150;17000;25;E40;in40lux 100% - 19:00;B;SGS203 SON 150 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST DUBBEL 1,50 M L.;1990-01-01;2030-01-01;"{""coordinates"": [5.4785047983212225, 51.44418723577282], ""type"": ""Point""}";51.44418723577282, 5.4785047983212225;51.44418756362093, 5.478506084868704
Neckerspoel 023;93125;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;023;;Gemeente Eindhoven;161348.486;383926.647;1;SON-T PIA PLUS 150W;2017-08-15;2022-07-20;sont;geel;150;17700;25;E40;in40lux 100% - 19:00;A;SGS253 SON/T150W GB;2007-11-15;2037-11-15;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.478516666980757, 51.444396545575906], ""type"": ""Point""}";51.444396545575906, 5.478516666980757;51.44439687367236, 5.478517954801687
Neckerspoel 032;93131;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;032;BUSSTATION;Gemeente Eindhoven;161382.467;383862.337;;LED360-4S/740 DX10;2020-12-21;2045-10-11;LED;wit;191.4;36000;70;LED;In40lux 100% - 00:45;D;BGP763;2020-12-21;2040-12-21;2500;1;;ST 25 BRUGMAST;1991-05-01;2031-05-01;;ST 6-VOUDIG 0,80 M A;1991-05-01;2031-05-01;"{""coordinates"": [5.479004289418013, 51.44381810082365], ""type"": ""Point""}";51.44381810082365, 5.479004289418013;51.443818428379934, 5.479005571817449
Neckerspoel 032;93133;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;032;BUSSTATION;Gemeente Eindhoven;161382.467;383862.337;;LED360-4S/740 DX10;2020-12-21;2045-10-11;LED;wit;191.4;36000;70;LED;In40lux 100% - 00:45;F;BGP763;2020-12-21;2040-12-21;2500;1;;ST 25 BRUGMAST;1991-05-01;2031-05-01;;ST 6-VOUDIG 0,80 M A;1991-05-01;2031-05-01;"{""coordinates"": [5.479004289418013, 51.44381810082365], ""type"": ""Point""}";51.44381810082365, 5.479004289418013;51.443818428379934, 5.479005571817449
Neckerspoel 033;93135;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;033;BUSSTATION;Gemeente Eindhoven;161308.315;383846.332;;LED360-4S/740 DX10;2020-12-21;2045-10-11;LED;wit;191.4;36000;70;LED;In40lux 100% - 00:45;B;BGP763;2020-12-21;2040-12-21;2500;1;;ST 25 BRUGMAST;1991-05-01;2031-05-01;;ST 6-VOUDIG 0,80 M A;1994-05-01;2034-05-01;"{""coordinates"": [5.477937407928677, 51.443675073620554], ""type"": ""Point""}";51.443675073620554, 5.477937407928677;51.44367540070997, 5.477938693327577
Neckerspoel 033;93139;1 Centrum;11 Centrum;114 Fellenoord;Neckerspoel;;033;BUSSTATION;Gemeente Eindhoven;161308.315;383846.332;;LED360-4S/740 DX10;2020-12-21;2045-10-11;LED;wit;191.4;36000;70;LED;In40lux 100% - 00:45;F;BGP763;2020-12-21;2040-12-21;2500;1;;ST 25 BRUGMAST;1991-05-01;2031-05-01;;ST 6-VOUDIG 0,80 M A;1994-05-01;2034-05-01;"{""coordinates"": [5.477937407928677, 51.443675073620554], ""type"": ""Point""}";51.443675073620554, 5.477937407928677;51.44367540070997, 5.477938693327577
Fellenoord 054;93141;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;054;;Gemeente Eindhoven;161329.751;383928.198;;LED169/740 DM50;2020-11-16;2045-08-24;LED;;104;16000;70;LED;in40lux 80% - 19:00;A;BGP762;2020-11-16;2040-11-16;1800;;;ST 18 V-100.T.133 CIL VZ;2020-11-16;2060-11-16;;ST ENKEL 3 M;2020-11-16;2060-11-16;"{""coordinates"": [5.478247208913534, 51.44441069804706], ""type"": ""Point""}";51.44441069804706, 5.478247208913534;51.44441102608452, 5.4782484978089565
Fellenoord 052;93142;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;052;;Gemeente Eindhoven;161294.96;383919.32;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;A;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;2013-09-01;2053-09-01;;ST ENKEL 2,50 M;1969-01-01;2009-01-01;"{""coordinates"": [5.477746613559876, 51.44433128708174], ""type"": ""Point""}";51.44433128708174, 5.477746613559876;51.44433161488604, 5.477747903786135
Fellenoord 051;93149;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;051;;Gemeente Eindhoven;161266.85;383945.52;2;SON-T PIA PLUS 250W;2016-01-15;2020-01-03;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SRP 4xSON/T 250 W;1983-01-01;2013-01-01;1800;4;;ST 18 V-100.T.133 CIL VZ;1968-09-01;2023-08-04;;ST ENKEL 2,50 M;1968-09-01;2008-09-01;"{""coordinates"": [5.477342742736508, 51.44456710360283], ""type"": ""Point""}";51.44456710360283, 5.477342742736508;51.444567431570285, 5.477344035924101
Fellenoord 059;93155;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;059;;Gemeente Eindhoven;161398.397;383979.16;;LED169/740 DM50;2020-11-16;2045-08-24;LED;;104;16000;70;LED;in40lux 80% - 19:00;A;BGP762;2020-11-16;2040-11-16;1800;;;ST 18 V-100.T.133 CIL VZ;2020-11-16;2060-11-16;;ST ENKEL 3 M;2020-11-16;2060-11-16;"{""coordinates"": [5.479235543453053, 51.44486800140343], ""type"": ""Point""}";51.44486800140343, 5.479235543453053;51.4448683302539, 5.479236831610134
Fellenoord 063;93156;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;063;;Gemeente Eindhoven;161429.882;383987.607;;LED169/740 DM50;2020-11-16;2045-08-24;LED;;104;16000;70;LED;in40lux 80% - 19:00;A;BGP762;2020-11-16;2040-11-16;1800;;;ST 18 V-100.T.133 CIL VZ;2020-11-16;2060-11-16;;ST ENKEL 3 M;2020-11-16;2060-11-16;"{""coordinates"": [5.47968858507398, 51.44494356965285], ""type"": ""Point""}";51.44494356965285, 5.47968858507398;51.44494389871946, 5.479689872048775
Fellenoord 069;93158;1 Centrum;11 Centrum;115 TU-terrein;Fellenoord;;069;;Gemeente Eindhoven;161505.05;383991.34;;LED169/740 DM50;2020-11-16;2045-08-24;LED;;104;16000;70;LED;in40lux 80% - 19:00;A;BGP762;2020-11-16;2040-11-16;1800;;;ST 18 V-100.T.133 CIL VZ;2020-11-16;2060-11-16;;ST ENKEL 3 M;2020-11-16;2060-11-16;"{""coordinates"": [5.480769889958581, 51.444976260324864], ""type"": ""Point""}";51.444976260324864, 5.480769889958581;51.4449765897356, 5.480771173182573
De Rungraaf 003;93160;1 Centrum;11 Centrum;112 de Bergen;De Rungraaf;;003;PARKEERTERREIN;Gemeente Eindhoven;161026.255;382848.833;1;SON PIA PLUS 100W;2020-03-25;2025-03-06;son;geel;100;9700;25;E40;in40lux 100% - 19:00;B;SGS203 SON 100 W DIM;1994-03-02;2024-03-02;900;1;;ST 9 STANDAARD VZ;1994-03-02;2034-03-02;;ST DUBBEL 1,50 M L.;1994-03-02;2034-03-02;"{""coordinates"": [5.4738632621402195, 51.434711986840966], ""type"": ""Point""}";51.434711986840966, 5.4738632621402195;51.43471230368886, 5.473864509495899
Julianastraat 016;93167;1 Centrum;11 Centrum;112 de Bergen;Julianastraat;;016;;Gemeente Eindhoven;160758.466;383172.6;1;PLL 36 W xtra polar;2018-09-19;2024-11-15;pll;wit;36;2900;82;2G11;in40lux 100% - uit40;A;SGP630 PL-L 36W;2015-01-28;2045-01-28;700;1;;ST 7 STANDAARD VZ;1991-01-01;2031-01-01;;ST ENKEL 1 M LOS;1991-01-01;2031-01-01;"{""coordinates"": [5.4700174622454085, 51.43762502299134], ""type"": ""Point""}";51.43762502299134, 5.4700174622454085;51.437625341515144, 5.470018740159522
Smitsstraat 004;93168;1 Centrum;11 Centrum;112 de Bergen;Smitsstraat;;004;;Gemeente Eindhoven;160933.552;383024.083;1;PLL 55 W xtra polar;2016-06-13;2021-09-19;pll;wit;55;4800;82;2G11;in40lux 100% - uit40;A;FGS225 PLL 55 W HFP;2007-01-01;2037-01-01;700;1;;ST 7 V-100.L.084 VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.472533043640857, 51.43628823493299], ""type"": ""Point""}";51.43628823493299, 5.472533043640857;51.43628855289586, 5.472534304782302
Smitsstraat 005;93169;1 Centrum;11 Centrum;112 de Bergen;Smitsstraat;;005;;Gemeente Eindhoven;160958.401;383016.707;1;PLL 55 W xtra polar;2022-04-04;2028-07-09;pll;wit;55;4800;82;2G11;in40lux 100% - uit40;A;FGS225 PLL 55 W HFP;2007-01-01;2037-01-01;700;1;;ST 7 V-100.L.084 VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.4728902857356765, 51.436221672002496], ""type"": ""Point""}";51.436221672002496, 5.4728902857356765;51.436221990001805, 5.472891545212819
Lardinoisstraat 004;93172;1 Centrum;11 Centrum;114 Fellenoord;Lardinoisstraat;;004;EXPEDITIEWEG LANGS SPOORLIJN;Gemeente Eindhoven;161221.6;383743.486;1;SON PIA PLUS 150W;2017-07-13;2022-06-12;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1985-01-01;2015-01-01;900;1;;ST 9 STANDAARD VZ;1985-01-01;2025-01-01;;ST OPZETSTUK 0,40 M;1985-01-01;2025-01-01;"{""coordinates"": [5.476688298184927, 51.442751591928044], ""type"": ""Point""}";51.442751591928044, 5.476688298184927;51.44275191758735, 5.476689582333624
Lardinoisstraat 003;93174;1 Centrum;11 Centrum;114 Fellenoord;Lardinoisstraat;;003;EXPEDITIEWEG LANGS SPOORLIJN;Gemeente Eindhoven;161201.043;383737.475;1;SON PIA PLUS 150W;2016-01-27;2021-01-12;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1991-01-01;2021-01-01;900;1;;ST 9 STANDAARD VZ;1991-01-01;2031-01-01;;ST OPZETSTUK 0,40 M;1991-01-01;2031-01-01;"{""coordinates"": [5.476392509525655, 51.44269778804689], ""type"": ""Point""}";51.44269778804689, 5.476392509525655;51.442698113560894, 5.4763937944156185
Fuutlaan 014;93175;1 Centrum;11 Centrum;115 TU-terrein;Fuutlaan;;014;;Gemeente Eindhoven;162049.81;383749.258;1;SON-T PIA PLUS 70W;2020-05-12;2024-04-22;sont;geel;70;6600;25;E27;in40lux 100% - uit40;A;SGS253 SON/T 70W IRI;2016-03-09;2046-03-09;700;1;;AL 6 NEDAL V.060PT03.0T.000 (Avenue);2016-03-09;2046-03-09;;AL OPZETSTUK 0,20 M;2014-12-02;2044-12-02;"{""coordinates"": [5.48860102755688, 51.44279370858574], ""type"": ""Point""}";51.44279370858574, 5.48860102755688;51.442794037695116, 5.488602267389063
Lardinoisstraat 001;93176;1 Centrum;11 Centrum;114 Fellenoord;Lardinoisstraat;;001;EXPEDITIEWEG LANGS SPOORLIJN;Gemeente Eindhoven;161143.513;383721.134;1;SON PIA PLUS 150W;2016-09-23;2021-09-04;son;geel;150;17000;25;E40;in40lux 100% - 19:00;A;SGS203 SON 150 W DIM;1994-11-14;2024-11-14;900;1;;ST 9 STANDAARD VZ;1994-11-14;2034-11-14;;ST OPZETSTUK 0,40 M;1994-11-14;2034-11-14;"{""coordinates"": [5.475564739273089, 51.44255153550787], ""type"": ""Point""}";51.44255153550787, 5.475564739273089;51.44255186062089, 5.475566026264176
Stationsplein 021;93178;1 Centrum;11 Centrum;111 Binnenstad;Stationsplein;;021;;Gemeente Eindhoven;161502.096;383626.881;1;SON-T PIA PLUS 250W;2021-02-18;2025-02-06;sont;geel;250;33000;25;E40;in40lux 100% - uit40;B;SGS254 SON/T250W GB;2009-06-17;2039-06-17;1300;1;;ST 13 V-100.T.114;2009-06-17;2049-06-17;;ST DUBBEL 0,11 M VZ;2009-06-17;2049-06-17;"{""coordinates"": [5.480720682927489, 51.4417002986228], ""type"": ""Point""}";51.4417002986228, 5.480720682927489;51.441700624183646, 5.480721945744714
Stationsplein 051;93184;1 Centrum;11 Centrum;111 Binnenstad;Stationsplein;;051;;Gemeente Eindhoven;161348.23;383670.84;1;CPO-TW 140W;2022-10-24;2028-10-03;cpo-t;wit;140;0;0;PGZ12;in40lux 100% - uit40;B;SGS253 CPO-TW 140W I;2010-04-01;2040-04-01;1300;1;;ST 13 V-100.T.114;1999-07-08;2039-07-08;;ST DUBBEL 0,11 M VZ;1969-01-01;2009-01-01;"{""coordinates"": [5.478508382622609, 51.4420971877238], ""type"": ""Point""}";51.4420971877238, 5.478508382622609;51.44209751312555, 5.478509656007989
Stationsweg 059;93189;1 Centrum;11 Centrum;111 Binnenstad;Stationsweg;;059;PARKEERTERREIN;Gemeente Eindhoven;161689.916;383704.408;1;CDO-TT Plus 150W;2020-05-11;2027-01-18;;;150;16500;87;E40;in40lux 100% - 19:00;B;SGS253 SON/T150W GB;2008-03-07;2038-03-07;1300;1;;ST 13 STANDAARD;1969-01-01;2023-08-03;;ST DUBBEL 1,50 M L.;1969-01-01;2009-01-01;"{""coordinates"": [5.483423612076066, 51.44239496062516], ""type"": ""Point""}";51.44239496062516, 5.483423612076066;51.44239528776661, 5.483424869294935
Stationsweg 059;93190;1 Centrum;11 Centrum;111 Binnenstad;Stationsweg;;059;PARKEERTERREIN;Gemeente Eindhoven;161689.916;383704.408;1;CDO-TT Plus 150W;2020-05-11;2027-01-18;;;150;16500;87;E40;in40lux 100% - 19:00;A;SGS253 SON/T150W GB;2008-03-07;2038-03-07;1300;1;;ST 13 STANDAARD;1969-01-01;2023-08-03;;ST DUBBEL 1,50 M L.;1969-01-01;2009-01-01;"{""coordinates"": [5.483423612076066, 51.44239496062516], ""type"": ""Point""}";51.44239496062516, 5.483423612076066;51.44239528776661, 5.483424869294935
Tramstraat 018;93192;1 Centrum;11 Centrum;111 Binnenstad;Tramstraat;;018;PARKEERTERREIN COCAGNE;Gemeente Eindhoven;161658.246;383361.339;1;SON PIA PLUS 70W I;2021-02-01;2026-08-16;son;geel;70;5900;25;E27;in40lux 100% - uit40;A;SGS201 SON 70 W;1990-01-01;2020-01-01;700;1;;ST 7 STANDAARD;1990-01-01;2030-01-01;;ST ENKEL 1 M LOS;1990-01-01;2030-01-01;"{""coordinates"": [5.482961614005275, 51.43931160702607], ""type"": ""Point""}";51.43931160702607, 5.482961614005275;51.439311930756574, 5.482962854657162
Vestdijktunnel 082;93205;1 Centrum;11 Centrum;114 Fellenoord;Vestdijktunnel;;082;;Gemeente Eindhoven;161258.04;383789.26;1;SON PIA PLUS 250W;2019-04-03;2023-10-27;son;geel;250;30900;25;E40;in40lux 100% - 19:00;B;SGS201 SON 250 W;1996-03-28;2026-03-28;1300;1;;ST 13 V-100.T.114;1996-03-28;2036-03-28;;ST DUBBEL 1,50 M L.;1996-03-28;2036-03-28;"{""coordinates"": [5.477213247197947, 51.44316263452136], ""type"": ""Point""}";51.44316263452136, 5.477213247197947;51.44316296080835, 5.477214532017401
Vestdijktunnel 088;93211;1 Centrum;11 Centrum;114 Fellenoord;Vestdijktunnel;;088;;Gemeente Eindhoven;161240.9;383863.3;1;SON PIA PLUS 250W;2019-04-03;2023-10-27;son;geel;250;30900;25;E40;in40lux 100% - 19:00;A;SGS201 SON 250 W;1996-03-28;2026-03-28;1300;1;;ST 13 V-100.T.114;1996-03-28;2036-03-28;;ST DUBBEL 1,50 M L.;1996-03-28;2036-03-28;"{""coordinates"": [5.476968020059684, 51.443828344880295], ""type"": ""Point""}";51.443828344880295, 5.476968020059684;51.44382867187834, 5.476969309966409
Onze Lieve Vrouwestraat 044;93214;1 Centrum;11 Centrum;115 TU-terrein;Onze Lieve Vrouwestraat;;044;;Gemeente Eindhoven;161851.61;384831.31;;LED159/740 I DX70 DG;2021-04-01;2046-06-02;LED;;85;13150;70;LED;in30lux 87% - 19:00;A;BGP762;2021-04-01;2041-04-01;1100;1;;ST 11 V-100.T.115;2021-04-01;2061-04-01;;ST ENKEL 100x070;2021-04-01;2051-04-01;"{""coordinates"": [5.48577121993314, 51.452522343321206], ""type"": ""Point""}";51.452522343321206, 5.48577121993314;51.4525226832673, 5.485772530263483
de Zaale 001;93217;1 Centrum;11 Centrum;115 TU-terrein;de Zaale;;001;;Gemeente Eindhoven;162700.058;384513.683;1;SOX PSG 55W;2020-09-01;2023-09-08;sox;oranje;55;8100;25;BY22d;in30lux 100% - uit30;A;SRM 2xSOX 55 W;1996-07-01;2026-07-01;1100;2;;ST 9 COMBINATIEMAST ANWB VZ;1996-07-01;2036-07-01;;ST DUBBEL 1,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.497970610264626, 51.44965633537011], ""type"": ""Point""}";51.44965633537011, 5.497970610264626;51.44965667616671, 5.497971854644197
Fellenoord 022;93219;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;022;;Gemeente Eindhoven;160902.922;383783.546;;LED84/740 DM50;2020-11-16;2023-04-03;LED;wit;53.9;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-11-16;2040-11-16;1300;1;;ST 13 V-100.T.114;1996-07-01;2036-07-01;;ST ENKEL 1 M LOS VZ;1996-07-01;2036-07-01;"{""coordinates"": [5.472105240689629, 51.443115111176226], ""type"": ""Point""}";51.443115111176226, 5.472105240689629;51.443115435891194, 5.472106543946026
Fellenoord 016;93222;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;016;;Gemeente Eindhoven;160870.738;383785.322;;LED84/740 DM50;2020-11-16;2023-04-03;LED;wit;53.9;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-11-16;2040-11-16;1300;1;;ST 13 V-100.T.114;1996-07-01;2036-07-01;;ST ENKEL 1 M LOS VZ;1996-07-01;2036-07-01;"{""coordinates"": [5.471642345684088, 51.44313141180523], ""type"": ""Point""}";51.44313141180523, 5.471642345684088;51.44313173639215, 5.471643650748891
Fellenoord 012;93227;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;012;;Gemeente Eindhoven;160834.537;383745.449;;LED60/740 DM50;2020-11-16;2045-08-24;LED;;40;6000;70;LED;in40lux 80% - 19:00;B;BGP760;2020-11-16;2045-11-16;1300;1;;ST 13 V-100.T.114;1996-07-01;2036-07-01;;ST DUBBEL 1,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.471120982493333, 51.44277338371636], ""type"": ""Point""}";51.44277338371636, 5.471120982493333;51.44277370773807, 5.471122287218263
Fellenoord 031;93230;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;031;;Gemeente Eindhoven;161019.15;383864.07;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;A;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST ENKEL 2,50 M;1996-07-01;2036-07-01;"{""coordinates"": [5.4737784011316535, 51.44383768215008], ""type"": ""Point""}";51.44383768215008, 5.4737784011316535;51.443838008233996, 5.473779702780045
Fellenoord 032;93231;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;032;;Gemeente Eindhoven;161036.65;383832.2;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;A;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST ENKEL 2,50 M;1996-07-01;2036-07-01;"{""coordinates"": [5.474029574437901, 51.443551026202634], ""type"": ""Point""}";51.443551026202634, 5.474029574437901;51.443551352036046, 5.474030873352703
Fellenoord 028;93232;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;028;;Gemeente Eindhoven;160985.07;383851.34;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;A;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST ENKEL 2,50 M;1996-07-01;2036-07-01;"{""coordinates"": [5.473287981454436, 51.443723620163134], ""type"": ""Point""}";51.443723620163134, 5.473287981454436;51.44372394595416, 5.473289284191408
Fellenoord 034;93240;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;034;;Gemeente Eindhoven;161064.38;383861.95;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;B;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST DUBBEL 2,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.47442894909844, 51.44381814046586], ""type"": ""Point""}";51.44381814046586, 5.47442894909844;51.44381846674165, 5.474430248225139
Fellenoord 035;93241;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;035;;Gemeente Eindhoven;161089.86;383871.23;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;A;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST DUBBEL 2,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.474795611191056, 51.44390127996345], ""type"": ""Point""}";51.44390127996345, 5.474795611191056;51.443901606444236, 5.474796909497843
Fellenoord 035;93242;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;035;;Gemeente Eindhoven;161089.86;383871.23;;LED119/740 DM50;2021-05-21;2046-02-12;LED;;76;12000;70;LED;in40lux 80% - 19:00;B;BGP762;2021-05-21;2041-05-21;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST DUBBEL 2,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.474795611191056, 51.44390127996345], ""type"": ""Point""}";51.44390127996345, 5.474795611191056;51.443901606444236, 5.474796909497843
Fellenoord 036;93243;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;036;;Gemeente Eindhoven;161119.24;383882.01;1;SON-T PIA PLUS 250W;2016-03-25;2035-11-18;sont;geel;250;33000;25;E40;in40lux 100% - 21:30;A;SRP 4xSON/T 250 W;1996-07-01;2026-07-01;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST DUBBEL 2,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.475218398068959, 51.44399785889384], ""type"": ""Point""}";51.44399785889384, 5.475218398068959;51.443998185604535, 5.475219695438973
Fellenoord 036;93247;1 Centrum;11 Centrum;114 Fellenoord;Fellenoord;;036;;Gemeente Eindhoven;161119.24;383882.01;2;SON-T PIA PLUS 250W;2021-02-17;2025-02-05;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SRP 4xSON/T 250 W;1996-07-01;2026-07-01;1800;4;;ST 18 V-100.T.133 CIL VZ;1996-07-01;2036-07-01;;ST DUBBEL 2,50 M L.;1996-07-01;2036-07-01;"{""coordinates"": [5.475218398068959, 51.44399785889384], ""type"": ""Point""}";51.44399785889384, 5.475218398068959;51.443998185604535, 5.475219695438973
