"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.42589930167712 41.82056450146909)","256",,"BROADWAY","BROADWAY","VINTON ST","BATTEY ST","Front","4","Acer rubrum","3.0","No","Sidewalk Pit","13.0"
"POINT (-71.42095088422923 41.80167987906575)","57",,"LAURA ST","LAURA ST","NIAGARA ST","HAMILTON ST","Front","2","Gleditsia triacanthos","2.0","No","Lawn Strip","9.0"
"POINT (-71.41493636952477 41.85659568640144)","118",,"SWIFT ST","SWIFT ST","JOB ST","ARGOL ST","Front","2","Tilia americana","11.0","None","Lawn Strip","4.0"
"POINT (-71.4499219698515 41.84857480944526)","135",,"ARDMORE AVE","ARDMORE AVE","FORBES ST","LOTUS PL","Front","3","Cercis canadensis","2.0","Yes","Lawn Strip","5.0"
"POINT (-71.38998367128684 41.82347786281358)","137",,"GANO ST","GANO ST","WILLIAMS ST","POWER ST","Front","1","Gleditsia triacanthos","8.8","Yes","Sidewalk Pit","1.0"
"POINT (-71.42064154714654 41.85411213230829)","638",,"CHARLES ST","CHARLES ST","PAUL ST","SOCIAL ST","Front","2","Acer campestre","4.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.43233652996724 41.81193876131715)","31",,"CHAPIN AVE","CHAPIN AVE","PARADE ST","MESSER ST","Front","1","Celtis spp.","16.0","No","Sidewalk Pit","13.0"
"POINT (-71.45174247842476 41.832480914011256)","1294",,"CHALKSTONE AVE","CHALKSTONE AVE","LYNCH ST","LEAH ST","Front","1","Fraxinus pennsylvanica","9.0","Yes","Sidewalk Pit","5.0"
"POINT (-71.4440960048323 41.824803497981335)","820",,"ATWELLS AVE","ATWELLS AVE","JULIAN ST","PUTNAM ST","Front","2","Gleditsia triacanthos","10.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.44352519667578 41.836885225218104)","665",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","NELSON ST","ACADEMY AVE","Median","2","Pyrus calleryana","7.2","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.42178091051676 41.802728729834286)","78","N","STANWOOD ST","STANWOOD ST","HAMILTON ST","NIAGARA ST","Front","2","Robinia pseudoacacia","1.0","Yes","Lawn Strip","9.0"
"POINT (-71.42480286549977 41.80480989216467)","131",,"MOORE ST","MOORE ST","UPDIKE ST","ELMWOOD AVE","Front","1","Malus spp","1.5","No","Lawn Strip","11.0"
"POINT (-71.44517425286257 41.84429232461096)","703",,"ACADEMY AVE","ACADEMY AVE","EATON ST","SALTER ST","Front","1","Ulmus americana","10.9","No","Sidewalk Pit","14.0"
"POINT (-71.41450989830622 41.800714050794696)","201",,"GORDON AVE","GORDON AVE","OXFORD ST","HOUSTON ST","Front","1","Acer rubrum","27.0","Yes","Lawn Strip","10.0"
"POINT (-71.43974814402742 41.81053984091397)","118",,"ROSEDALE ST","ROSEDALE ST","SERVICE RD","ELLERY ST","Front","2","Pyrus calleryana","13.0","No","Lawn - No Sidewalk","13.0"
"POINT (-71.39910033916492 41.788356344521645)","241",,"VERMONT AVE","VIRGINIA AVE","CALIFORNIA AVE","VERMONT AVE","Side","2","Prunus virginiana 'Schubert'","1.0","Yes","Lawn Strip","10.0"
"POINT (-71.38269827737207 41.83534856149436)","11",,"GROTTO AVE","GROTTO AVE","PRESIDENT AVE","IRVING AVE","Front","1","Gleditsia triacanthos","4.0","No","Lawn Strip","2.0"
"POINT (-71.41005734848206 41.834271296156)","4",,"BENEFIT ST","N MAIN ST","STAR ST","OLNEY ST","Rear","1","Tilia americana","16.0","No","Sidewalk Pit","12.0"
"POINT (-71.41660742812226 41.822611682828295)","186","Y","FOUNTAIN ST","FOUNTAIN ST","EMPIRE ST","SNOW ST","Front","1","Acer rubrum","6.5","No","Sidewalk Pit","1.0"
"POINT (-71.4192942886353 41.822926645837384)","25",,"BROADWAY","ATWELLS AVE","ATWELLS AVE","SERVICE RD","Side","3","Platanus x acerifolia","12.0","No","Sidewalk Pit","1.0"
"POINT (-71.44503986989909 41.84175969658214)","621",,"ACADEMY AVE","ACADEMY AVE","WABUN AVE","SMITH ST","Front","1","Prunus cerasifera","1.0","Yes","Lawn Strip","5.0"
"POINT (-71.43939677464412 41.852523132080975)","96",,"SEAMANS ST","SEAMANS ST","DOUGLAS AVE","FAIR ST","Front","1","Malus spp","2.0","Yes","Lawn - No Sidewalk","14.0"
"POINT (-71.39847456908524 41.82209173798164)","52",,"JOHN ST","BROOK ST","JOHN ST","WILLIAMS ST","Side","2","Platanus x acerifolia","20.4","Yes","Sidewalk Pit","1.0"
"POINT (-71.39508332896624 41.82888531166326)","314",,"ANGELL ST","ANGELL ST","STIMSON AVE","DIMAN PL","Front","2","Gleditsia triacanthos","17.3","No","Sidewalk Pit","2.0"
"POINT (-71.39104880209763 41.8372543563895)","121",,"LAUREL AVE","LAUREL AVE","ELMGROVE AVE","WAYLAND AVE","Front","2","Acer platanoides","18.6","Yes","Lawn Strip","2.0"
"POINT (-71.40514496553507 41.8464957353472)","951",,"N MAIN ST","N MAIN ST","LANCASTER ST","ROCHAMBEAU AVE","Front","2","Zelkova serrata","7.0","Yes","Lawn Strip","3.0"
"POINT (-71.42748569986216 41.7986630717549)","29",,"RUTLAND ST","RUTLAND ST","ELMWOOD AVE","BUCKLIN ST","Front","2","Pyrus calleryana","12.0","No","Sidewalk Pit","8.0"
"POINT (-71.422013214963 41.80051318175117)","94",,"MITCHELL ST","MITCHELL ST","MELROSE ST","HAMILTON ST","Front","1","Acer campestre","1.2","Yes","Lawn Strip","9.0"
"POINT (-71.39797442322244 41.852593022361745)","164",,"SUMMIT AVE","7TH ST","HIGHLAND AVE","SUMMIT AVE","Side","12","Unknown spp.","2.3","No","Sidewalk Pit","3.0"
"POINT (-71.38399033334859 41.83656203459205)","253",,"PRESIDENT AVE","PRESIDENT AVE","BLACKSTONE BLVD","GROTTO AVE","Front","1","Platanus x acerifolia","15.0","Yes","Sidewalk Pit","2.0"
"POINT (-71.44655559050682 41.83701668393909)","38",,"FARM ST","WEBB ST","FARM ST","BOLTON AVE","Side","1","Acer platanoides","28.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.42896633434098 41.813839924640064)","106",,"HARRISON ST","HARRISON ST","DURFEE ST","WESTMINSTER ST","Front","2","Tilia cordata","20.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.43497112977109 41.817415698035965)","97",,"TOBEY ST","TOBEY ST","BROADWAY","WESTMINSTER ST","Front","1","Pyrus calleryana","12.0","No","Sidewalk Pit","13.0"
"POINT (-71.44896380102362 41.84253353701414)","9",,"LOIS AVE","LOIS AVE","LOXLEY RD","CATHEDRAL AVE","Front","1","Gleditsia triacanthos","14.0","None","Lawn Strip","5.0"
"POINT (-71.45525265326306 41.832757022908076)","17",,"GALILEO AVE","GALILEO AVE","VICTORIA ST","CHALKSTONE AVE","Front","1","Acer rubrum","22.0","No","Sidewalk Pit","5.0"
"POINT (-71.42146351520898 41.80488586824188)","43",,"MOORE ST","MOORE ST","BROAD ST","UPDIKE ST","Front","1","Platanus x acerifolia","11.0","No","Lawn Strip","11.0"
"POINT (-71.38745248684725 41.849881075782356)","514",,"BLACKSTONE BLVD","BLACKSTONE BLVD","HARWICH RD","WINGATE RD","Front","3","Acer rubrum","13.7","Yes","Lawn Strip","2.0"
"POINT (-71.39174029075453 41.84129079843488)","139",,"SESSIONS ST","SESSIONS ST","ELMWOOD AVE","WAYLAND AVE","Front","1","Ulmus americana","35.9","No","Lawn Strip","2.0"
"POINT (-71.40575919139616 41.822231057251386)","250",,"WATER ST /S","WATER ST /S","POWER ST","WILLIAMS ST","Front","2","Fraxinus pennsylvanica","10.0","No","Sidewalk Pit","1.0"
"POINT (-71.40051337090847 41.841536437570326)","2",,"CATALPA RD","CYPRESS ST","CATALPA RD","IVY ST","Side","3","Corylus colurna","1.0","No","Lawn Strip","3.0"
"POINT (-71.40316374967406 41.848545263885924)","1021","false","N MAIN ST","EDGEHILL RD","CAMP ST","N MAIN ST","Side","4","Ulmus spp.","54.0","No","Sidewalk Pit","3.0"
"POINT (-71.43170956360979 41.8404392955112)","116",,"PINEHURST AVE","PINEHURST AVE","EATON ST","CHAD BROWN ST","Front","1","Ulmus 'Patriot'","3.0","No","Lawn Strip","12.0"
"POINT (-71.42570342707612 41.82116717187655)","243",,"BROADWAY","KENYON ST","AMERICA ST","DE PASQUALE AVE","Rear","4","Ulmus spp.","6.2","No","Sidewalk Pit","13.0"
"POINT (-71.42259844395697 41.818701616332596)","388",,"WEST FOUNTAIN ST","WINTER ST","WEST FOUNTAIN ST","WASHINGTON ST","Side","3","Fraxinus pennsylvanica","1.0","No","Sidewalk Pit","13.0"
"POINT (-71.42147909729327 41.776939642214565)","1263",,"ELMWOOD AVE","ELMWOOD AVE","BISSELL ST","HATHAWAY ST","Front","1","Gleditsia triacanthos","5.6","Yes","Sidewalk Pit","8.0"
"POINT (-71.41126258499445 41.82552828179625)","3",,"KENNEDY PLZ","KENNEDY PLZ","EXCHANGE ST","DORRANCE ST","Front","3","Pyrus calleryana","5.0","No","Sidewalk Pit","1.0"
"POINT (-71.42096687907086 41.806589143394945)","40",,"PEACE ST","PEACE ST","UPDIKE ST","BROAD ST","Front","9","Platanus x acerifolia","1.5","No","Sidewalk Pit","11.0"
"POINT (-71.41845769679576 41.80868616107815)","15",,"HARVARD AVE","HARVARD AVE","TAYLOR ST","BROAD ST","Front","1","Pyrus calleryana","12.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.39246880662806 41.83370810875203)","375",,"LLOYD AVE","TABER AVE","LLOYD AVE","UNIVERSITY AVE","Side","1","Prunus serrulata 'Kwanzan'","10.0","Yes","Lawn Strip","2.0"
"POINT (-71.41785444531226 41.81989113573787)","274",,"WASHINGTON ST","CATHEDRAL SQ","DAVE GAVITT WAY","JACKSON WALKWAY","Rear","2","Acer platanoides","19.0","No","Lawn - No Sidewalk","1.0"
"POINT (-71.41910753983285 41.79933238128138)","131",,"NIAGARA ST","NIAGARA ST","ONTARIO ST","LEXINGTON AVE","Front","3","Quercus spp.","2.0","No","Lawn Strip","9.0"
"POINT (-71.42389494764895 41.83284745496681)","189",,"JEWETT ST","JEWETT ST","CALVERLEY ST","BATH ST","Front","1","Prunus serrulata 'Kwanzan'","5.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.43807176339479 41.85187032055986)","2",,"HYMER ST","HYMER ST","CRANDALL ST","RIVER AVE","Front","1","Pyrus calleryana","8.0","Yes","Sidewalk Pit","14.0"
"POINT (-71.42162698808471 41.79601616990189)","147",,"MELROSE ST","MELROSE ST","LENOX AVE","SUMTER ST","Front","1","Amelanchier canadensis","2.0","Yes","Lawn Strip","9.0"
"POINT (-71.38545438329987 41.82848648168873)","150",,"BUTLER AVE","BUTLER AVE","MEDWAY ST","WAYLAND AVE","Front","3","Acer platanoides","9.0","Yes","Lawn Strip","1.0"
"POINT (-71.41119334685861 41.830123445334905)","1",,"CANAL ST","CANAL ST","SMITH ST","PARK ROW WEST","Front","5","Platanus x acerifolia","8.0","No","Sidewalk Pit","12.0"
"POINT (-71.44092161050897 41.83730408417793)","50",,"MOORLAND AVE","MOORLAND AVE","SHARON ST","RANKIN AVE","Front","1","Fraxinus pennsylvanica","12.0","Yes","Lawn Strip","5.0"
"POINT (-71.3844800679631 41.842136562867154)","18",,"WOODLAND TER","GROTTO AVE","MOUNT AVE","WOODLAND TER","Rear","3","Pinus strobus","12.0","Yes","Lawn - No Sidewalk","2.0"
"POINT (-71.44839486422073 41.83461064504038)","82",,"GLOVER ST","KIMBALL ST","GLOVER ST","CHALKSTONE AVE","Side","1","Acer rubrum","1.5","No","Sidewalk Pit","5.0"
"POINT (-71.40933457601196 41.83153492848143)","74",,"BENEFIT ST","BENEFIT ST","JENCKES ST","CADY ST","Front","2","Pyrus calleryana","6.0","None","Sidewalk Pit","12.0"
"POINT (-71.42756689175026 41.78710460764171)","111",,"RUTHERGLEN AVE","RUTHERGLEN AVE","ALEXANDER ST","PARKMAN ST","Front","2","Prunus cerasifera","9.0","Yes","Lawn Strip","8.0"
"POINT (-71.4513218759242 41.83765515901376)","434",,"MT PLEASANT AVE","MT PLEASANT AVE","BASSWOOD AVE","RIALTO ST","Front","21","Platanus x acerifolia","16.0","No","Lawn Strip","5.0"
"POINT (-71.44704375254626 41.83597752465598)","39",,"BOLTON AVE","LAWN ST","BOLTON AVE","FARM ST","Side","1","Acer platanoides","22.6","No","Lawn - No Sidewalk","5.0"
"POINT (-71.41306473853786 41.79582357543239)","20",,"SACKETT ST","SACKETT ST","BALCOM ST","PRICE ST","Front","1","Acer platanoides","10.5","No","Lawn Strip","9.0"
"POINT (-71.40218648898532 41.79242658652267)","225",,"CHAPMAN ST","CHAPMAN ST","VIRGINIA AVE","EDDY ST","Side","6","Pyrus calleryana","10.0","No","Sidewalk Pit","10.0"
"POINT (-71.40397418129474 41.793602433878)","97",,"JOHNSON ST","EDDY ST","JOHNSON ST","PORTER ST","Side","1","Acer rubrum","10.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.39232369237035 41.83758197666812)","141",,"FREEMAN PKWY","FREEMAN PKWY","TABER AVE","ELMGROVE AVE","Front","3","Cornus florida","1.0","No","Lawn Strip","2.0"
"POINT (-71.44124733122811 41.81629888375408)","1860",,"WESTMINSTER ST","BOUGH ST","TROY ST","SERVICE RD 3","Side","1","Platanus x acerifolia","11.0","No","Sidewalk Pit","15.0"
"POINT (-71.40298712837676 41.79227860420624)","245",,"CHAPMAN ST","CHAPMAN ST","VIRGINIA AVE","EDDY ST","Side","7","Pyrus calleryana","4.0","No","Sidewalk Pit","10.0"
"POINT (-71.42643693170224 41.811462931109304)","90",,"WILSON ST","WILSON ST","DEXTER ST","ELMWOOD AVE","Front","1","Celtis spp.","8.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.46452130877874 41.81764872616456)","113",,"SPRINGFIELD ST","SPRINGFIELD ST","BURCHARD ST","OPHELIA ST","Front","1","Acer platanoides 'Crimson King'","12.0","Yes","Lawn - No Sidewalk","7.0"
"POINT (-71.40620578264746 41.832232091938174)","112",,"PROSPECT ST","PROSPECT ST","OLNEY ST","LLOYD AVE","Front","1","Pyrus calleryana","9.8","Yes","Sidewalk Pit","2.0"
"POINT (-71.42387328125648 41.80544661205932)","103",,"PRINCETON AVE","PRINCETON AVE","UPDIKE ST","ELMWOOD AVE","Front","3","Platanus x acerifolia","24.0","No","Sidewalk Pit","11.0"
"POINT (-71.43893370660591 41.8355885879869)","281",,"RIVER AVE","PLEASANT VALLEY PKWY","WYNDHAM AVE","RIVER AVE","Side","1","Zelkova serrata","10.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.39464437461224 41.82038071409601)","42",,"EAST ST","EAST ST","WICKENDEN ST","TRANSIT ST","Front","2","Acer rubrum","7.5","No","Lawn Strip","1.0"
"POINT (-71.41841112470644 41.8437135851017)","410",,"CHARLES ST","CHARLES ST","LORETO ST","ADMIRAL ST","Front","4","Tilia spp.","2.0","No","Sidewalk Pit","4.0"
"POINT (-71.41529846775698 41.80932781836091)","250",,"BLACKSTONE ST","BLACKSTONE ST","GAY ST","PRAIRIE AVE","Front","22","Gleditsia triacanthos","11.0","No","Sidewalk Pit","11.0"
"POINT (-71.4239231108637 41.79363722901988)","675",,"ELMWOOD AVE","ELMWOOD AVE","ADELAIDE AVE","WARRINGTON ST","Front","2","Tilia americana","4.0","No","Sidewalk Pit","8.0"
"POINT (-71.39919688979562 41.84477936933623)","169",,"IVY ST","IVY ST","ELGIN ST","HART ST","Front","1","Acer rubrum","8.5","Yes","Lawn Strip","3.0"
"POINT (-71.45013231623211 41.848663305169836)","26",,"LOTUS PL","LOTUS PL","GENTIAN AVE","ARDMORE AVE","Front","3","Ginkgo biloba","2.0","No","Lawn Strip","5.0"
"POINT (-71.44853774115822 41.83776207184059)","69",,"MINTO ST","MINTO ST","METROPOLITAN RD","WHITFORD AVE","Front","1","Quercus palustris","21.5","No","Lawn Strip","5.0"
"POINT (-71.42460964701344 41.81541864463875)","58",,"CRANSTON ST","CRANSTON ST","BRIDGHAM ST","FRICKER ST","Front","1","Platanus x acerifolia","18.0","No","Sidewalk Pit","11.0"
"POINT (-71.40709628592005 41.79074045632059)","26",,"SPICER ST","SPICER ST","BERNARD ST","BROAD ST","Front","1","Gleditsia triacanthos","6.0","Yes","Lawn Strip","9.0"
"POINT (-71.44245638840563 41.832838680991976)","133",,"CANTON ST","CANTON ST","CHALKSTONE AVE","PLEASANT VALLEY PKWY","Front","1","Gleditsia triacanthos","4.0","No","Sidewalk Pit","5.0"
"POINT (-71.40639049256136 41.834995303784105)","165",,"PROSPECT ST","PROSPECT ST","HIDDEN ST","OLNEY ST","Front","1","Acer rubrum","12.8","No","Sidewalk Pit","2.0"
"POINT (-71.4048570479649 41.83069594929161)","132",,"BOWEN ST","BOWEN ST","BROWN ST","PROSPECT ST","Front","2","Ulmus americana","3.5","No","Lawn Strip","2.0"
"POINT (-71.39134097683792 41.85116935239212)","70",,"OGDEN ST","OGDEN ST","LORIMER AVE","HOPE ST","Front","1","Tilia americana","11.9","Yes","Lawn Strip","3.0"
"POINT (-71.40044251991958 41.82680050392141)","201",,"THAYER ST","THAYER ST","WATERMAN ST","GEORGE ST","Front","7","Gleditsia triacanthos","10.0","No","Sidewalk Pit","1.0"
"POINT (-71.44580883114598 41.83160049825058)","31",,"ROANOKE ST","ROANOKE ST","ACADEMY AVE","PEMBERTON ST","Front","1","Koelrenteria paniculata","5.0","Yes","Lawn Strip","6.0"
"POINT (-71.389471294178 41.84875464919106)","508",,"COLE AVE","WESTFORD RD","COLE AVE","ELMGROVE AVE","Side","1","Acer platanoides","12.5","No","Lawn Strip","2.0"
"POINT (-71.39603350151039 41.84493622192716)","21",,"LEWIS ST","LEWIS ST","MORRIS AVE","HOPE ST","Front","1","Fraxinus pennsylvanica","21.0","Yes","Lawn Strip","3.0"
"POINT (-71.4122265179728 41.79705210488322)","26",,"ELMA ST","ELMA ST","BROAD ST","PRAIRIE AVE","Front","1","Quercus palustris","27.0","No","Sidewalk Pit","10.0"
"POINT (-71.41365896749681 41.81750515228346)","200",,"FRIENDSHIP ST","FRIENDSHIP ST","UNKNOWN","CLAVERICK ST","Front","8","Zelkova serrata","3.5","No","Sidewalk Pit","1.0"
"POINT (-71.39684000634469 41.84012722199933)","15",,"EAMES ST","EAMES ST","STADIUM RD","MORRIS AVE","Front","2","Quercus palustris","36.0","Yes","Lawn Strip","3.0"
"POINT (-71.40807290694094 41.82717760102967)","59",,"N MAIN ST","WATERMAN ST","BENEFIT ST","N MAIN ST","Side","2","Gleditsia triacanthos","2.0","No","Sidewalk Pit","2.0"
"POINT (-71.40857172361001 41.793198059435106)","1203","Y","BROAD ST","BROAD ST","DETROIT AVE","HAWTHORNE ST","Front","3","Tilia cordata","12.0","No","Lawn Strip","9.0"
"POINT (-71.39136146827734 41.83893203037708)","15",,"UPTON AVE","ROSE CT","UPTON AVE","FREEMAN PKWY","Side","1","Pyrus calleryana","1.3","No","Lawn Strip","2.0"
"POINT (-71.39420871526235 41.82902659476871)","338","Y","ANGELL ST","ANGELL ST","ARLINGTON AVE","STIMSON AVE","Front","3","Tilia spp.","2.0","No","Sidewalk Pit","2.0"
"POINT (-71.39344718151297 41.834088010091385)","12",,"KINGSTON AVE","KINGSTON AVE","PRESIDENT AVE","LLOYD AVE","Front","1","Quercus rubra","2.0","None","Sidewalk Pit","2.0"
"POINT (-71.44840992486174 41.84390528299722)","1090",,"SMITH ST","BRENTWOOD AVE","SMITH ST","LOIS AVE","Side","2","Acer platanoides","17.0","Yes","Lawn Strip","5.0"
"POINT (-71.41558797425765 41.8107145135961)","227",,"DUDLEY ST","PRAIRIE AVE","SOMERSET ST","DUDLEY ST","Side","1","Gleditsia triacanthos","1.0","No","Sidewalk Pit","11.0"
"POINT (-71.44312772738876 41.83570574175209)","619",,"PLEASANT VALLEY PKWY","PLEASANT VALLEY PKWY","JUSTICE ST","MOORLAND AVE","Median","2","Aesculus x carnea","3.2","No","Lawn - No Sidewalk","5.0"
"POINT (-71.3965718830605 41.82432085178281)","1",,"YOUNG ORCHARD AVE","YOUNG ORCHARD AVE","COOKE ST","HOPE ST","Front","3","Tilia cordata","1.0","No","Sidewalk Pit","1.0"
"POINT (-71.43312442886902 41.819254732255814)","451",,"BROADWAY","ALMY ST","GROVE ST","BROADWAY","Side","1","Acer platanoides","2.7","No","Lawn Strip","13.0"
"POINT (-71.4065530755619 41.79412933924877)","89",,"CASS ST","CASS ST","EDDY ST","BROAD ST","Front","3","Pinus strobus","8.0","Yes","Lawn Strip","10.0"
"POINT (-71.39466583574139 41.83897944572508)","311",,"DOYLE AVE","DOYLE AVE","TABER AVE","MORRIS AVE","Front","1","Quercus rubra","45.0","Yes","Lawn Strip","3.0"
"POINT (-71.38572126445827 41.83453546524706)","206",,"UNIVERSITY AVE","UNIVERSITY AVE","SLATER AVE","COLE AVE","Front","1","Tilia spp.","10.0","No","Sidewalk Pit","2.0"
"POINT (-71.40560624318104 41.7908563529154)","1316",,"BROAD ST","BROAD ST","BROOM ST","JILLSON ST","Front","7","Platanus x acerifolia","13.0","No","Sidewalk Pit","10.0"
"POINT (-71.41560323375413 41.79945310359742)","205",,"GALLUP ST","GALLUP ST","GORDON AVE","BROAD ST","Front","1","Prunus sargentii","2.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.40676583528099 41.83046156003476)","73",,"CONGDON ST","CONGDON ST","ANGELL ST","JENCKES ST","Side","1","Acer platanoides 'Crimson King'","18.0","Yes","Lawn Strip","2.0"
"POINT (-71.41825290110204 41.79508720261521)","147",,"WARRINGTON ST","WARRINGTON ST","HAMILTON ST","NIAGARA ST","Front","1","Acer platanoides","10.0","No","Lawn Strip","9.0"
"POINT (-71.40999171722208 41.822607835340676)","110",,"DORRANCE ST","PINE ST","PINE ST","WEYBOSSET ST","Side","3","Tilia americana","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.42414439308683 41.83272204914481)","198",,"JEWETT ST","JEWETT ST","BATH ST","BATH ST","Front","1","Acer rubrum","4.0","No","Sidewalk Pit","12.0"
"POINT (-71.3868899335988 41.82903565404449)","163",,"MEDWAY ST","MEDWAY ST","WAYLAND AVE","BUTLER AVE","Front","1","Fraxinus spp.","7.0","No","Lawn Strip","1.0"
"POINT (-71.46466653632683 41.83373902831523)","1696",,"CHALKSTONE AVE","CHALKSTONE AVE","MANTON AVE","MCCLELLAN ST","Front","1","Platanus x acerifolia","6.0","No","Sidewalk Pit","6.0"
"POINT (-71.43442731189654 41.812462536446354)","68",,"WOOD ST","SYCAMORE ST","CHAPIN AVE","WESTMINSTER ST","Side","3","Liquidambar syraciflua","5.0","No","Sidewalk Pit","13.0"
"POINT (-71.41910918748283 41.83577478932393)","5","Y","BERNON ST","BERNON ST","DOUGLAS AVE","CANDACE ST","Front","3","Quercus palustris","2.0","No","Lawn - No Sidewalk","12.0"
"POINT (-71.39177013027985 41.849761465747164)","99",,"LORIMER AVE","LORIMER AVE","5TH ST","6TH ST","Front","1","Tilia americana","12.6","No","Lawn Strip","3.0"
"POINT (-71.40337613547499 41.788255607885915)","1355",,"EDDY ST","BROAD ST","MARION AVE","PAYTON ST","Side","10","Gleditsia triacanthos","12.0","No","Sidewalk Pit","10.0"
"POINT (-71.38736996639068 41.83929478178543)","123",,"UPTON AVE","UPTON AVE","COLE AVE","SLATER AVE","Front","1","Acer saccharum","8.6","Yes","Lawn Strip","2.0"
"POINT (-71.39225690152618 41.848776773256624)","264",,"4TH ST","LORIMER AVE","4TH ST","5TH ST","Side","2","Acer platanoides","25.0","No","Lawn Strip","3.0"
"POINT (-71.45904257474538 41.818698889362)","457",,"HARTFORD AVE","HARTFORD AVE","PONAGANSETT AVE","MELISSA ST","Front","1","Acer platanoides","12.0","Yes","Sidewalk Pit","7.0"
"POINT (-71.39244091163324 41.85278826215196)","216",,"8TH ST","8TH ST","WINFIELD RD","HOPE ST","Front","1","Fraxinus pennsylvanica","11.8","No","Lawn Strip","3.0"
"POINT (-71.39495659458993 41.846141576300006)","487",,"MORRIS AVE","MORRIS AVE","FOSDYKE ST","BRAMAN ST","Front","1","Cercis canadensis","1.0","Yes","Lawn Strip","3.0"
"POINT (-71.40956524598859 41.832162466389924)","56",,"BENEFIT ST","BENEFIT ST","JENCKES ST","CADY ST","Front","1","Betula spp.","1.4","None","Sidewalk Pit","12.0"
"POINT (-71.39565017350445 41.847962528360235)","770",,"HOPE ST","HOPE ST","GLENDALE AVE","BURLINGTON ST","Front","1","Prunus spp.","3.1","Yes","Sidewalk Pit","3.0"
"POINT (-71.42884564964527 41.80043732069777)","53",,"VINEYARD ST","VINEYARD ST","HAWTHORNE ST","CARTER ST","Front","1","Quercus palustris","2.0","None","Sidewalk Pit","8.0"
"POINT (-71.42260351143618 41.820121147442975)","6",,"CARGILL ST","CARGILL ST","CARPENTER ST","WESTMINSTER ST","Front","1","Pyrus calleryana","11.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.42355942296754 41.8084185652932)","206",,"ELMWOOD AVE","DARTMOUTH AVE","ELMWOOD AVE","BROAD ST","Side","13","Acer platanoides","9.0","Yes","Lawn Strip","11.0"
"POINT (-71.39773187407057 41.83218771636977)","235",,"LLOYD AVE","LLOYD AVE","HOPE ST","ARLINGTON AVE","Front","7","Prunus sargentii","5.2","Yes","Lawn Strip","2.0"
"POINT (-71.43151912676994 41.84083694804111)","130",,"PINEHURST AVE","PINEHURST AVE","EATON ST","CHAD BROWN ST","Front","1","Zelkova serrata","10.0","No","Lawn Strip","12.0"
"POINT (-71.4004478942769 41.8268511411173)","201",,"THAYER ST","THAYER ST","WATERMAN ST","GEORGE ST","Front","6","Gleditsia triacanthos","11.0","No","Sidewalk Pit","1.0"
"POINT (-71.39645652723665 41.787359372100056)","180",,"MASSACHUSETTS AVE","MASSACHUSETTS AVE","VIRGINIA AVE","NARRAGANSETT BLVD","Front","1","Quercus rubra","4.0","No","Lawn Strip","10.0"
"POINT (-71.40169698584074 41.79125571708902)","230",,"GEORGIA AVE","GEORGIA AVE","EDDY ST","VIRGINIA AVE","Front","5","Pyrus calleryana","2.0","Yes","Sidewalk Pit","10.0"
"POINT (-71.45963806429303 41.807025863473015)","106",,"ETHAN ST","ETHAN ST","PRUDENCE AVE","UNION AVE","Front","1","Liquidambar syraciflua","18.0","Yes","Sidewalk Pit","7.0"
"POINT (-71.42949674117462 41.84116515938824)","55",,"EATON ST","EATON ST","PEMBROKE AVE","RADCLIFFE AVE","Front","1","Acer rubrum","1.1","No","Sidewalk Pit","14.0"
"POINT (-71.40070993292342 41.83221392822333)","115",,"KEENE ST","KEENE ST","THAYER ST","HOPE ST","Front","1","Acer platanoides","32.3","Yes","Sidewalk Pit","2.0"
"POINT (-71.40981454777445 41.78801023210008)","179",,"CALLA ST","CALLA ST","CACTUS ST","OGANDO ST","Front","1","Zelkova serrata","17.0","No","Lawn Strip","9.0"
"POINT (-71.42582893292928 41.818514147571435)","478",,"WEST FOUNTAIN ST","WEST FOUNTAIN ST","CARPENTER ST","BATTEY ST","Front","1","Malus spp","7.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.45675066697132 41.82996305890707)","145",,"RUSHMORE AVE","RUSHMORE AVE","DEAD END","ADA ST","Front","1","Acer platanoides","14.0","Yes","Lawn - No Sidewalk","6.0"
"POINT (-71.44406180667485 41.81651765045195)","22",,"PLAINFIELD ST","PLAINFIELD ST","DIKE ST","LIBRARY CT","Front","1","Ulmus americana 'Valley Forge'","10.0","No","Sidewalk Pit","15.0"
