"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Energy Coordinating Agency","2019-07-23T00:00:00.000","NC-1829598344","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside Oil","1987","3962","1","George B.","Efficient Home",,"Lorraine V.","3962","1803","2159","LIHEAP","N","11060.80",,,,"9587.80",,,,"1473.00"
"Energy Coordinating Agency","2019-08-09T00:00:00.000","NC-644733541","2019","Wilmington","New Castle","19808","Own","Single-Family Detached","0","0","1","0","3","4","Oil","Delmarva/Ace Fuel","1940","3378","2","Krist M.","ECA",,"Lorraine V.","4928","3717","1211","WAP Utility","N","5047.80",,,"4761.80",,,,"286.00",
"Energy Coordinating Agency","2019-08-03T00:00:00.000","NC-707051228","2019","Wilmington","New Castle","19805","Rent","Single-Family Detached","0","0","0","0","1","1","Gas","Delmarva","1924","1318","2","George B.","ECA",,"Veronica I.","6146","4925","1221","LIHEAP/WAP Utility","N","5429.30",,,,"4382.30",,,"247.00","800.00"
"Energy Coordinating Agency","2019-08-06T00:00:00.000","NC-819328442","2019","Wilmington","New Castle","19804","Own","Single-Family Detached","0","0","0","0","1","1","Gas","Delmarva","1954","780","1","Jerry S.","ECA",,"Lorraine V.","2636","1869","767","LIHEAP/WAP Utility","N","4261.05",,,"1447.36","1084.69",,,"1729.00",
"Energy Coordinating Agency","2019-06-10T00:00:00.000","NC-1785119626","2019","New Castle","New Castle","19720","Own","Single-Family Detached","0","2","0","0","1","3","Gas","Delmarva","1955","912","1","Peter P.","ECA",,"Veronica I.","1656","917","739","LIHEAP","N","3326.31",,,,"2567.31",,,,"759.00"
"Energy Coordinating Agency","2019-06-10T00:00:00.000","NC-821427265","2019","Wilmington","New Castle","19805","Own","Single-Family Attached","0","5","0","0","1","6","Gas","Delmarva","1900","2040","2","Steve C.","Efficient Home",,"Veronica I.","5537","3750","1787","LIHEAP","N","5038.00",,,,"3762.40",,,,"1275.60"
"Energy Coordinating Agency","2019-05-24T00:00:00.000","NC-1116601","2019","New Castle","New Castle","19720","Own","Single-Family Detached","0","0","0","0","1","1","Gas","Delmarva","1959","1898","2","Krist M.","ECA",,"Veronica I.","3798","1815","1983","LIHEAP","N","2789.50",,,,"2271.50",,,,"518.00"
"Energy Coordinating Agency","2019-08-09T00:00:00.000","NC-1651831836","2019","Wilmington","New Castle","19802","Own","Single-Family Attached","0","0","1","0","0","1","Gas","Delmarva","1953","1150","2","Steve C.","Efficient Home",,"Veronica I.","2576","2097","479","WAP Utility","N","4344.90",,,"3297.90",,,,"1047.00",
"Energy Coordinating Agency","2019-08-21T00:00:00.000","NC-547021906","2019","Newark","New Castle","19713","Own","Mobile Home","0","0","1","0","0","1","Gas","Delmarva","1992","1430","1","George B.","ECA",,"Lorraine V.","2569","2471","98","WAP Utility","N","4768.50",,,"3896.00",,,,"872.50",
"Energy Coordinating Agency","2019-08-14T00:00:00.000","NC-1914574491","2019","Middletown","New Castle","19709","Own","Single-Family Attached","0","2","1","0","0","3","Gas","Town of Middletown/Chesapeake","2002","2526","2","Krist M.","ECA",,"Lorraine V.","1348","1135","213","WAP Base/RGGI WAP","N","4545.10","3039.60",,,,"600.00","905.50",,
"Energy Coordinating Agency","2019-08-09T00:00:00.000","NC-1495697614","2019","Wilmington","New Castle","19808","Own","Single-Family Detached","0","2","0","0","2","4","Oil","Delmarva/Cochran Oil","1955","1127","1","Jerry S.","ECA",,"Veronica I.","2693","2200","493","WAP Base/WAP Utility","N","8466.62","6299.50",,,,"1200.00",,"967.12",
"Energy Coordinating Agency","2019-08-20T00:00:00.000","NC-357050825","2019","Wilmington","New Castle","19808","Own","Mobile Home","0","1","1","0","0","2","Oil","Delmarva/Hillside Oil","1969","693","1","George B.","Efficient Home",,"Lorraine V.","1704","799","905","WAP Base","N","4522.08","3824.08",,,,"698.00",,,
"Energy Coordinating Agency","2019-08-26T00:00:00.000","NC - 1787077547","2019","Townsend","New Castle","19734","Own","Single-Family Detached","0","0","1","0","0","1","Oil","Delmarva/Watson Oil","1910","1618","2","Krist M.","Efficient Home",,"Lorraine V.","7755","5661","2094","WAP Utility","N","8410.72",,,"7350.82",,,,"1059.90",
"Catholic Charities","2016-03-15T00:00:00.000","K15-547218954","2015","Dover","Kent","19901","Own","Single-Family Detached","0","2","0","0","2","4","Electric","Delmarva","1930","1576","2","Steve C./Gary H.","RS Bauer","RS Bauer","Steve C./Gary H.","5578","4638","940","LIHEAP","N","6998.20",,,,"5001.20",,,,"1997.00"
"Catholic Charities","2016-03-21T00:00:00.000","S15-2067285650","2015","Dover","Kent","19901","Own","Mobile Home","2","0","2","0","0","2","oil",,"1951","1010","1","Steve C.","RS Bauer","RS Bauer","Gary H.","2646","1343","1303","RGGI WAP","N","7739.63",,"5382.30",,,,"2357.33",,
"Catholic Charities","2016-03-24T00:00:00.000","S15-1385044262","2015","Seaford","Sussex","19973","Own","Single-Family Detached","0","0","0","0","2","2","Electric","Delmarva","1977","1056","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1723","1002","721","WAP UTILITY","Y","8163.30",,,"3902.80",,,,"4260.50",
"Energy Coordinating Agency","2019-09-04T00:00:00.000","NC-436105025","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside Oil","1994","1710","1","George B.","Efficient Home",,"Lorraine V.","3178","2149","1029","WAP Utility","N","7617.00",,,"7000.20",,,,"616.80",
"Energy Coordinating Agency","2019-08-01T00:00:00.000","NC-1525269019","2019","Newark","New Castle","19713","Own","Single-Family Detached","0","0","1","0","1","2","Oil","Delmarva/Shellhorn & Hill, Inc.","1953","1120","1","Peter P.","Efficient Home",,"Veronica I.","1641","690","951","LIHEAP/WAP Utility","N","7547.79",,,"2114.69","3886.10",,,"210.00","1337.00"
"Energy Coordinating Agency","2019-08-27T00:00:00.000","NC-1394945061","2019","Wilmington","New Castle","19809","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Amerigas","1988","784","1","Krist M.","ECA",,"Lorraine V.","1608","1248","360","WAP Utility","N","1917.80",,,"1756.20",,,,"161.60",
"Energy Coordinating Agency","2019-08-21T00:00:00.000","NC-239951945","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside Oil","1984","559","1","George B.","ECA",,"Lorraine V.","1600","1153","447","WAP Utility","N","2496.70",,,"1770.70",,,,"726.00",
"Energy Coordinating Agency","2019-08-22T00:00:00.000","NC-262113152","2019","Wilmington","New Castle","19801","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1879","1312","2","George B.","ECA",,"Lorraine V.","4599","3077","1522","WAP Utility","N","3887.10",,,"3441.70",,,,"445.40",
"Energy Coordinating Agency","2019-09-06T00:00:00.000","NC-1235430530","2019","Townsend","New Castle","19734","Own","Single-Family Detached","0","2","0","0","1","3","Oil","Delmarva/All American Discount","1900","2046","2","Jerry S.","Efficient Home",,"Veronica I.","5537","3687","1850","WAP Base/WAP Utility","N","14813.31","6075.00",,"6349.31",,"1125.00",,"1264.00",
"Energy Coordinating Agency","2019-09-23T00:00:00.000","NC-206037775","2019","Wilmington","New Castle","19801","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1880","1364","2","George B.","ECA",,"Michael W.","4888","3887","1001","WAP Base","N","4292.68","3220.68",,,,"1072.00",,,
"Energy Coordinating Agency","2019-08-02T00:00:00.000","NC-214618048","2019","New Castle","New Castle","19720","Own","Single-Family Attached","0","2","0","0","1","3","Electric","Delmarva","1989","972","2","George B.","ECA",,"Veronica I.","2854","1302","1552","WAP Base","N","3496.46","2533.46",,,,"963.00",,,
"Energy Coordinating Agency","2019-08-23T00:00:00.000","NC-236437245","2019","New Castle","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Electric","Delmarva","1992","1347","1","George B.","ECA",,"Lorraine V.","1688","1167","521","WAP Base/WAP Utility","N","8939.15","6120.00",,"1758.85",,"1060.30",,,
"Energy Coordinating Agency","2019-09-13T00:00:00.000","NC-462345071","2019","Wilmington","New Castle","19808","Own","Single-Family Detached","1","0","0","0","0","1","Oil","Delmarva/Cochran Oil","1956","1089","1","George B.","ECA",,"Michael W.","1132","962","170","WAP Base/WAP Utility","N","8292.73","5530.23",,,,,,"2762.50",
"Energy Coordinating Agency","2019-09-11T00:00:00.000","NC-6440955217","2019","Middletown","New Castle","19709","Own","Single-Family Detached","0","3","0","0","2","5","Gas","Town of Middletown/Chesapeake","2008","2130","2","Jerry S.","ECA",,"Veronica I.","3105","1310","1795","WAP Base","N","5185.35","4088.35",,,,"1097.00",,,
"Energy Coordinating Agency","2019-09-10T00:00:00.000","NC-88966963","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/AWE Oil","1989","878","1","George B.","ECA",,"Lorraine V.","1729","1337","392","WAP Base","N","3036.00","2836.30",,,,"199.70",,,
"Energy Coordinating Agency","2019-09-06T00:00:00.000","NC-527888973","2019","Wilmington","New Castle","19808","Own","Mobile Home","0","1","1","0","0","2","Oil","Delmarva/Pro Fuels","1988","863","1","George B.","Efficient Home",,"Lorraine V.","2642","1481","1161","WAP Base/WAP Utility","N","12527.20","5250.00",,"3589.45",,"950.00",,"2737.75",
"Energy Coordinating Agency","2019-09-30T00:00:00.000","NC-789575163","2019","Wilmington","New Castle","19802","Own","Single-Family Attached","0","2","0","0","1","3","Gas","Delmarva","2005","1668","3","Steve C.","ECA",,"Lorraine V.","2239","1631","608","WAP Base/WAP Utility","N","3635.98","1548.98",,,,"550.00",,"1537.00",
"Energy Coordinating Agency","2019-09-13T00:00:00.000","NC-3022766054","2019","Newark","New Castle","19702","Own","Single-Family Attached","0","0","0","0","1","1","Propane","Delmarva/Superior Plus","1983","989","1","George B.","ECA",,"Lorraine V.","1499","1421","78","WAP Base/WAP Utility","N","5037.61","3908.01",,,,,,"1129.60",
"Energy Coordinating Agency","2019-11-21T00:00:00.000","NC-1416844915","2019","Wilmington","New Castle","19810","Own","Single-Family Detached","0","2","0","0","1","3","Oil","Delmarva/Petro Oil","1950","2250","2","Jerry S.","ECA",,"No Final Inspection","6301","4685","1616","WAP Utility","N","5338.79",,,"5057.69",,,,"281.10",
"Energy Coordinating Agency","2019-11-18T00:00:00.000","NC-1395816616","2019","Newark","New Castle","19702","Own","Single-Family Attached","0","0","0","0","4","4","Gas","Delmarva","1994","1829","2","George B.","ECA",,"Michael W.","2615","1680","935","WAP Base/WAP Utility","N","3410.95","2179.95",,,,"500.00",,"731.00",
"Energy Coordinating Agency","2019-12-05T00:00:00.000","NC-1662936209","2019","Wilmington","New Castle","19808","own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1965","2113","1","George B.","ECA",,"Michael W.","2021","1489","532","WAP Base/WAP Utility","N","3841.08","2212.98",,,,"550.00",,"1078.10",
"Catholic Charities","2016-04-08T00:00:00.000","K15-8458626","2015","Camden","Kent","19934","Own","Single-Family Detached","0","0","0","0","1","1","Oil",,"1962","1863","1","Steve C.","RS Bauer","RS Bauer","Gary H.","4205","1857","2348","RGGI WAP","N","10577.66",,"6567.50",,,,"4010.16",,
"Energy Coordinating Agency","2019-11-22T00:00:00.000","NC-1762889784","2019","Wilmington","New Castle","19801","Own","Single-Family Attached","1","0","0","0","2","3","Gas","Delmarva","1923","1840","2","Jerry S.","ECA",,"Michael W.","6617",,"6617","WAP Utility","N","1450.00",,,,,,,"1450.00",
"Catholic Charities","2016-04-11T00:00:00.000","N14-673933745","2015","New Castle","New Castle","19720","Own","Single-Family Detached",,,,,,,"Oil",,"1956","2028","2","Ed W.","Efficient Home","Wysocki","Ed W.","6444","4390","2054","WAP UTILITY","N","7983.82",,,"4664.28",,,,"3319.54",
"Energy Coordinating Agency","2019-11-27T00:00:00.000","NC-279592193","2019","Claymont","New Castle","19703","Own","Single-Family Attached","0","2","0","0","2","4","Gas","Delmarva","1920","1344","3","Krist M.","ECA",,"Lorraine V.","5661","4832","829","WAP Base/WAP Utility","N","2735.88","2532.40",,,,,,"203.48",
"Energy Coordinating Agency","2019-12-05T00:00:00.000","NC-327194072","2019","Wilmington","New Castle","19808","Own","Single-Family Detached","0","0","0","0","2","2","Gas","Delmarva","1920","1600","2","Jerry S.","ECA",,"Michael W.","6461","4896","1565","WAP Utility","N","5989.40",,,"4805.20",,,,"1184.20",
"Energy Coordinating Agency","2019-12-17T00:00:00.000","NC-788445694","2019","Newark","New Castle","19702","Own","Single-Family Attached","2","0","0","0","0","2","Electric","Delmarva","1986","1916","2","George B.","ECA",,"Michael W.","4470","3274","1196","WAP Base","Y","10949.70","8667.66",,,,"2282.04",,,
"Energy Coordinating Agency","2019-12-10T00:00:00.000","NC-101589326","2019","Middletown","New Castle","19709","Own","Mobile Home","0","0","0","0","2","2","Oil","Town of Middletown/Hillside Oil","1985","870","1","George B.","ECA",,"Michael W.","3860","2846","1014","WAP Base","N","3392.18","2730.58",,,,"661.60",,,
"Energy Coordinating Agency","2019-12-10T00:00:00.000","NC-1328408353","2019","Wilmington","New Castle","19805","Own","Single-Family Detached","0","1","0","0","2","3","Gas","Delmarva","1906","1280","2","George B.","ECA",,"Michael W.","4900","3298","1602","WAP Base/WAP Utility","N","9273.83","5868.73",,,,,,"3405.10",
"Catholic Charities","2016-04-14T00:00:00.000","N15-471064233","2016","Wilmington","New Castle","19805","Own","Single-Family Detached",,,,,,,,"Delmarva","1959","1150","2",,,,,,,"0","WAP UTILITY","N","282.50",,,,,,,"282.50",
"Energy Coordinating Agency","2019-12-10T00:00:00.000","NC-382445377","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/CC Oil Company","2010","1080","1","George B.","ECA",,"Michael W.","1923","1059","864","WAP Base","N","7132.46","6381.46",,,,"751.00",,,
"Catholic Charities","2016-04-14T00:00:00.000","N14-167387203","2015","Wilmington","New Castle","19802","Own","Single-Family Detached","0","0","0","0","0","1","Oil","Delmarva/Cochran Oil","1948","1075","2","Steve C.","Pfaff Brothers",,"Ed W.","1735","1735","0","LIHEAP","N","3754.25",,,,"2816.25",,,,"938.00"
"Energy Coordinating Agency","2019-12-10T00:00:00.000","NC-1456951807","2019","Wilmington","New Castle","19802","Own","Single-Family Attached","0","2","0","0","1","3","Gas","Delmarva","1929","1225","2","Chris R.","ECA",,"Michael W.","4600","3788","812","WAP Base","N","2961.40","2678.40",,,,"283.00",,,
"Energy Coordinating Agency","2019-12-29T00:00:00.000","NC-1646433218","2019","Bear","New Castle","19701","Own","Mobile Home","0","0","0","0","4","4","Oil","Delmarva/AWE Oil","1976","868","1","Peter P./Jerry S.","ECA",,"Michael W.","5338","3183","2155","WAP Base","N","7836.01","6383.41",,,,"1452.60",,,
"Energy Coordinating Agency","2020-02-04T00:00:00.000","NC-97512941","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","1","2","Oil","Delmarva/AWE Oil","1995","1800","1","George B.","ECA",,"Michael W.","2260","2083","177","WAP Utility","N","3476.79",,,"2715.29",,,,"761.50",
"Energy Coordinating Agency","2020-02-04T00:00:00.000","NC-1336072340","2019","Hockessin","New Castle","19707","Own","Single-Family Detached","0","3","0","0","2","5","Gas","Delmarva","1970","3125","2","George B.","ECA",,"Michael W.","5201","4334","867","WAP Base","N","5595.35","4006.25",,,,"1589.10",,,
"Energy Coordinating Agency","2020-02-12T00:00:00.000","NC-2036113906","2019","Middletown","New Castle","19709","Own","Single-Family Attached","0","0","0","0","3","3","Electric","Town of Middletown","1994","1360","2","George B.","ECA",,"Michael W.","1934","1484","450","WAP Base","N","2637.83","1466.65",,,,"1171.18",,,
"Energy Coordinating Agency","2020-01-16T00:00:00.000","NC-839288167","2019","Wilmington","New Castle","19808","Own","Mobile Home","0","0","0","0","1","1","Oil","Delmarva/Roman Oil/Amergas","1966","720","1","George B.","ECA",,"Michael W.","1972","1893","79","WAP Base","N","8217.48","7575.58",,,,"641.90",,,
"Energy Coordinating Agency","2019-09-16T00:00:00.000","NC-502547639","2019","New Castle","New Castle","19720","Own","Single-Family Attached","0","0","0","0","2","2","Gas","Delmarva","1988","1473","2","Krist M.","ECA",,"Michael W.","2425","1988","437","WAP Base","N","2837.60","1949.00",,,,"888.60",,,
"Energy Coordinating Agency","2020-08-30T00:00:00.000","NC - 1534887751","2019","Newark","New Castle","19713","Own","Single-Family Detached","0","0","1","0","0","1","Oil","Delmarva/Discount Oil","1953","1456","1","Krist M.","ECA",,"Veronica I.","3494","3031","463","WAP Base","N","4582.60","3284.50",,,,"1298.10",,,
"Energy Coordinating Agency","2019-04-20T00:00:00.000","NC - 432576849","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside Oil","1992","1352","1","Jerry S.","ECA",,"Veronica I.","3303","2350","953","WAP Base","N","3486.40","2323.40",,,,"1163.00",,,
"Energy Coordinating Agency","2019-08-15T00:00:00.000","NC - 36927099","2019","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/AWE Oil","1965","1172","1","Krist M.","ECA",,"Lorraine V.","4029","2260","1769","WAP Base","N","8217.48","7575.58",,,,"641.90",,,
"Energy Coordinating Agency","2019-11-12T00:00:00.000","NC-1212532384","2019","Newark","New Castle","19702","Own","Mobile Home","0","0","1","0","1","2","Gas","Delmarva","1994","1216","1","Krist M.","ECA",,"Michael W.","1319","1133","186","WAP Base/WAP Utility","N","10257.60","5900.00",,"2233.80",,"800.00",,"1323.80",
"Catholic Charities","2016-05-05T00:00:00.000","S15-1435600390","2016","Laurel","Sussex","19956","Own","Single-Family Detached","0","1","0","0","1","2","Oil","Delmarva/Peninsula","1971","1876","2","Gary H.","RS Bauer","RS Bauer","Gary H.","5284","4164","1120","LIHEAP","N","3363.68",,,,"2343.68",,,,"1020.00"
"Energy Coordinating Agency","2020-02-14T00:00:00.000","NC-189281143","2019","Bear","New Castle","19701","Own","Mobile Home","2","0","0","0","0","2","Propane","Delmarva/Reybold","2001","1560","1","George B.","Efficient Home",,"Michael W.","3063","1452","1611","WAP Base/WAP Utility","N","12832.76","5015.74",,"4493.06",,"900.00",,"2423.96",
"Energy Coordinating Agency","2020-02-13T00:00:00.000","NC-1956191934","2019","Wilmington","New Castle","19810","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Wilson Oil","1992","845","1","George B.","Efficient Home",,"Michael W.","1352","877","475","WAP Base","N","4082.25","3106.95",,,,"975.30",,,
"Energy Coordinating Agency","2020-02-13T00:00:00.000","NC-874964760","2019","New Castle","New Castle","19720","Own","Single-Family Attached","1","0","0","0","0","1","Oil","Delmarva/AWE Oil","1953","1101","2","George B.","ECA",,"Michael W.","3370","3123","247","WAP Base","N","3065.20","2772.20",,,,"293.00",,,
"Energy Coordinating Agency","2020-01-29T00:00:00.000","NC-195043825","2019","New Castle","New Castle","19808","Own","Mobile Home","0","0","0","0","2","2","Oil","Delmarva/Wise Owl Oil","1989","663","1","George B.","Efficient Home",,"Veronica I.","1530","1149","381","WAP Base/WAP Utility","N","8314.85","2776.35",,,,"3223.50",,"2315.00",
