"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"303","2016-17","District","100207","Puyallup School District","Pierce","Puget Sound Educational Service District 121","100006","27003","Puyallup School District","100207","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"304","2016-17","District","100208","Queets-Clearwater School District","Jefferson","Olympic Educational Service District 114","100005","16020","Queets-Clearwater School District","100208","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"305","2016-17","District","100209","Quilcene School District","Jefferson","Olympic Educational Service District 114","100005","16048","Quilcene School District","100209","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"306","2016-17","District","105979","Quileute Tribal School District","Clallam","NULL","NULL","5903","Quileute Tribal School District","105979","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"307","2016-17","District","100210","Quillayute Valley School District","Clallam","Olympic Educational Service District 114","100005","5402","Quillayute Valley School District","100210","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"308","2016-17","District","100212","Quincy School District","Grant","North Central Educational Service District 171","100008","13144","Quincy School District","100212","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"309","2016-17","District","105732","Rainier Prep Charter School District","King","Washington State Charter School Commission","105798","17908","Rainier Prep Charter School District","105732","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"310","2016-17","District","100213","Rainier School District","Thurston","Capital Region ESD 113","100004","34307","Rainier School District","100213","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"311","2016-17","District","106046","Rainier Valley Leadership Academy","King","Washington State Charter School Commission","105798","17910","Rainier Valley Leadership Academy","106046","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"312","2016-17","District","100214","Raymond School District","Pacific","Capital Region ESD 113","100004","25116","Raymond School District","100214","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"313","2016-17","District","100215","Reardan-Edwall School District","Lincoln","Educational Service District 101","100001","22009","Reardan-Edwall School District","100215","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"314","2016-17","District","100216","Renton School District","King","Puget Sound Educational Service District 121","100006","17403","Renton School District","100216","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"315","2016-17","District","104305","Renton Technical College","King","NULL","NULL","17941","Renton Technical College","104305","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"316","2016-17","District","100217","Republic School District","Ferry","Educational Service District 101","100001","10309","Republic School District","100217","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"317","2016-17","District","100218","Richland School District","Benton","Educational Service District 123","100007","3400","Richland School District","100218","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"318","2016-17","District","100219","Ridgefield School District","Clark","Educational Service District 112","100003","6122","Ridgefield School District","100219","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"319","2016-17","District","100220","Ritzville School District","Adams","Educational Service District 101","100001","1160","Ritzville School District","100220","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"320","2016-17","District","100221","Riverside School District","Spokane","Educational Service District 101","100001","32416","Riverside School District","100221","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"321","2016-17","District","100222","Riverview School District","King","Puget Sound Educational Service District 121","100006","17407","Riverview School District","100222","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"322","2016-17","District","100223","Rochester School District","Thurston","Capital Region ESD 113","100004","34401","Rochester School District","100223","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"323","2016-17","District","100224","Roosevelt School District","Klickitat","Educational Service District 112","100003","20403","Roosevelt School District","100224","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"324","2016-17","District","100225","Rosalia School District","Whitman","Educational Service District 101","100001","38320","Rosalia School District","100225","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"325","2016-17","District","100226","Royal School District","Grant","Educational Service District 105","100002","13160","Royal School District","100226","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"326","2016-17","District","100227","San Juan Island School District","San Juan","Northwest Educational Service District 189","100009","28149","San Juan Island School District","100227","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"327","2016-17","District","100228","Satsop School District","Grays Harbor","Capital Region ESD 113","100004","14104","Satsop School District","100228","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"328","2016-17","District","104229","Seattle Central Community College","King","NULL","NULL","17942","Seattle Central Community College","104229","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"329","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2070","Beacon Hill International School","101039","P","1","One-way","243","Spanish","50-50","Kindergarten","5","http://beaconhilles.seattleschools.org/","1","2021-02-18T00:00:00.000","47.585116","-122.315256","2025 14 AV S, SEATTLE, Washington, 98144-4205","2025 14 AV S, SEATTLE, Washington, 98144-4205","6","6"
"330","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3096","Chief Sealth International High School","101118","P","1","One-way","243","Spanish","50-50","9","9","https://chiefsealthhs.seattleschools.org/","1","2021-02-18T00:00:00.000","47.52863786","-122.3661694","2600 SW Thistle, SEATTLE, Washington, 98126-3748","2600 SW Thistle, SEATTLE, Washington, 98126-3748","6","6"
"331","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2199","Concord International School","101064","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://concordes.seattleschools.org/about/dual_language_information","1","2021-02-18T00:00:00.000","47.523677","-122.324108","723 S CONCORD ST, SEATTLE, Washington, 98108-4641","723 S CONCORD ST, SEATTLE, Washington, 98108-4641","6","6"
"332","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2839","David T. Denny International Middle School","101107","P","1","One-way","243","Spanish","50-50","6","8","http://dennyms.seattleschools.org/","1","2021-02-18T00:00:00.000","47.53101849","-122.3653763","2601 SW Kenyon St, SEATTLE, Washington, 98126","2601 SW Kenyon St, SEATTLE, Washington, 98126","6","6"
"333","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3803","Dearborn Park International School","101145","P","1","One-way","243","Spanish","50-50","Kindergarten","5","http://dearbornes.seattleschools.org/about/dual_language_immersion_program","1","2021-02-18T00:00:00.000","47.552323","-122.296283","2820 S ORCAS ST, SEATTLE, Washington, 98108-3066","2820 S ORCAS ST, SEATTLE, Washington, 98108-3066","6","6"
"334","2016-17","District","100229","Seattle School District No. 1","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3095","Mercer International Middle School","101117","P","2","Two-way","243","Spanish","50-50","6","8","https://mercerms.seattleschools.org/academics/international_education","1","2021-02-18T00:00:00.000","47.563903","-122.311187","1600 S COLUMBIAN WY, SEATTLE, Washington, 98108-1565","1600 S COLUMBIAN WY, SEATTLE, Washington, 98108-1565","6","6"
"335","2016-17","District","100230","Sedro-Woolley School District","Skagit","Northwest Educational Service District 189","100009","29101","Sedro-Woolley School District","100230","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"336","2016-17","District","100231","Selah School District","Yakima","Educational Service District 105","100002","39119","Selah School District","100231","5383","John Campbell Primary School","105888","P","2","Two-way","243","Spanish","50-50","Kindergarten","2","http://www.selah.k12.wa.us/JC/index.cfm?v=dlip","1","2021-02-18T00:00:00.000","46.658641","-120.531048","408 North First Street, Selah, Washington, 98942","408 North First Street, Selah, Washington, 98942","1","1"
"337","2016-17","District","100232","Selkirk School District","Pend Oreille","Educational Service District 101","100001","26070","Selkirk School District","100232","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"338","2016-17","District","100233","Sequim School District","Clallam","Olympic Educational Service District 114","100005","5323","Sequim School District","100233","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"339","2016-17","District","100234","Shaw Island School District","San Juan","Northwest Educational Service District 189","100009","28010","Shaw Island School District","100234","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"340","2016-17","District","100235","Shelton School District","Mason","Capital Region ESD 113","100004","23309","Shelton School District","100235","2745","Evergreen Elementary School","101912","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","https://www.sheltonschools.org/Evergreen/About/SitePages/DualLanguage.aspx","1","2021-02-18T00:00:00.000","47.215149","-123.109744","900 W. Franklin St., Shelton, Washington, 98584-2551","900 W. Franklin St., Shelton, Washington, 98584-2551","1","1"
"341","2016-17","District","100236","Shoreline School District","King","Puget Sound Educational Service District 121","100006","17412","Shoreline School District","100236","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"342","2016-17","District","100237","Skamania School District","Skamania","Educational Service District 112","100003","30002","Skamania School District","100237","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"343","2016-17","District","100238","Skykomish School District","King","Puget Sound Educational Service District 121","100006","17404","Skykomish School District","100238","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
