"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31081602804283, 149.03118958951225)","JOHN GORTON DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.146966503636484, 149.11303234835114)","CHADWICK STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1482274060901, 149.10833362158218)","PATH"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.310976235163146, 149.03442778941226)","SOUTHCOTT VIEW"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.3088921768228, 149.03152117468113)","ROY CORRIGAN CL"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14399009615145, 149.10786785175935)","CRONE TERRACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.23199086540135, 148.99720671578203)","BONTHRONE STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14391626794656, 149.11120882226442)","BOLOT CLOSE"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","0.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.230955478968326, 149.16447791865858)","EHRLICH CIRCUIT"
"CAMPBELL","Rigid column","6.5 metres","STEEL ORDINARY","1.5 M SINGLE","SYLVANIA URBAN AEROSCREENED","METAL HALIDE","1","
,  
(-35.287723876001515, 149.1637538304958)","ACADEMY CL"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.311561018688835, 149.02400257119135)","THWAITES CRES"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.30952317769614, 149.0328603972453)","CALABY ST"
"BELCONNEN (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","3.7 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.26937839109927, 149.05393743338556)","COULTER DR S/BOUND INT W/HOVELL DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14925530113237, 149.10327989554722)","BRITO LANE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14661270525091, 149.10184688707102)","BYERA STREET"
"WRIGHT","FORDE COLUMN","9 metres","GALVANISED STEEL","3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.31105365542404, 149.0313698085116)","JOHN GORTON DR"
"STRATHNAIRN","FORDE COLUMN","10.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.23233969337778, 148.99964857398473)","PRO HART AVENUE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14512077578981, 149.11207399577114)","SUMMERHAYES STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14569100327378, 149.113304334915)","CHAKWICK STREET"
"STRATHNAIRN","FORDE COLUMN","10.5 metres","GALVANISED STEEL","4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.23140720859961, 149.00102606992684)","PRO HART AVENUE"
"MOLONGLO VALLEY (RURAL DIST.)","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.27464748819739, 149.04752133371363)","JOHN GORTON DRIVE"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31224438190595, 149.02588592653723)","NEVILLE GARE STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.146353817645924, 149.1023109163872)","DEVENISH STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14934007283365, 149.0992750146527)","ESPLINE STREET"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.31196767387423, 149.03403017778766)","EDWIN HICKS WAY"
"CAMPBELL","Rigid column","6.5 metres","STEEL ORDINARY","1.5 M SINGLE","SYLVANIA SUBURBAN ECO","COMPACT FLUORESCENT","1","
,  
(-35.28850831484006, 149.16318180504302)","29 ACADEMY CL"
"BELCONNEN (RURAL DIST.)","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.26896212102698, 149.05005420299332)","WILLIAM HOVELL DR E/BOUND NR COULTER DR"
"STRATHNAIRN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.0 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.23004091199258, 148.99953680518507)","LIONEL ROSE STREET"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.230298711420474, 148.99610118203182)","TREDWELL STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1472378145972, 149.11124983861205)","MAYES STREET"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.31291180119774, 149.03605505505044)","SOUTHCOTT VIEW"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.230835258527776, 149.16443589486664)","EHRLICH CIRCUIT"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.23213983968061, 149.16422527695275)","SHEWCROFT STREET"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31213502805944, 149.02710615484582)","THWAITES CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14893107091105, 149.10365961751145)","TRUNDLE STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145369450953034, 149.10837914943707)","BORLAND STREET"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.2313449802317, 148.99640324931897)","FERRARI COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1448517961589, 149.1074975179529)","CRONE TERRACE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.232934916123, 148.9960865882949)","YOORNIE WAY"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.23364501512457, 148.99776778909825)","YOORNIE WAY"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31128288199135, 149.0235659465175)","THWAITES CR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14825808717575, 149.09804888192014)","ROBIN BOYD CRESCENT"
"STRATHNAIRN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.0 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.234336679910214, 148.998626097665)","STOCKDILL DRIVE"
"STRATHNAIRN","FORDE COLUMN","9 metres","GALVANISED STEEL","3.0 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.23038934960923, 148.9996233195442)","LIONEL ROSE STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14585583762014, 149.11097916665582)","THELANDER STREET"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.231962174571485, 149.16297419941873)","SHEWCROFT STREET"
"WHITLAM","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.27367977645434, 149.04816462236838)","JOHN GORTON DRIVE"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.23216108430887, 149.16595838740324)","KILDUFF STREET"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.30925740227778, 149.02959051790094)","THWAITES CRES"
"BARTON","Rigid column","30 metres","STEEL ORDINARY","NONE","FLL","METAL HALIDE","3","
,  
(-35.30257528695625, 149.13963115656458)","KINGS AV BRIDGE EXIT PARKES PL"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14660458323413, 149.09959011343938)","VAHLAND STREET"
"CAMPBELL","Rigid column","6.5 metres","STEEL ORDINARY","1.5 M SINGLE","SYLVANIA B2224","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.28824884023313, 149.16290188913985)","29 ACADEMY CL"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.30971993094879, 149.02749885493103)","THWAITES CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14678856155509, 149.11184879003878)","PERROTT STREET"
"FRANKLIN","Energy Absorbing column","6.5 metres","STEEL ORDINARY","1.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18956384806947, 149.14380991384925)","INTER.BARBARA JEFFERIS & MANNING CLARK CRES"
"STRATHNAIRN","FORDE COLUMN","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.23116022059387, 149.00109672474147)","PRO HART AVENUE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14514623794406, 149.11094997292713)","DORNEY RISE"
"KINGSTON","INGAL","4.2 meters","GALVANISED STEEL","NONE","WE-EF VFL530",,"1","
,  
(-35.3129164291487, 149.1495327404763)","HONEYSETT VIEW"
"TAYLOR","FORDE COLUMN","9 metres","STEEL","3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.14773445695779, 149.10609466316356)","TREVOR GIBSON WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.147493162513044, 149.11112517441012)","ANCHER STREET"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31094991907236, 149.0261847824565)","LEX BANNING STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14830592730545, 149.10192682389865)","JELINEK STREET"
"TAYLOR","FORDE COLUMN","9 metres","STEEL","3.0 M TWIN","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.147382017218455, 149.10414250409846)","ROBIN BOYD CRESCENT"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.187222591333125, 149.13464639853535)","GUNGAHLIN PL. NEAR INT THE VALLEY AVE."
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.23092686217094, 149.16598128069518)","PHIPPARD COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1467857200418, 149.10854952372222)","PHLEROS WAY"
"GREENWAY","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41655475818433, 149.06817804417292)","ANKETELL STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14936783522948, 149.1027835123934)","BRITO LANE"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31259900048875, 149.02705287485128)","IAN MUDIE LANE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.23130221002851, 148.99977540070654)","YEOMANS STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14416716343476, 149.11208777299157)","BOLOT CLOSE"
"STRATHNAIRN","FORDE COLUMN","4.5 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.230179216637545, 149.00216871584877)","FULLSTON WAY"
"STRATHNAIRN","FORDE COLUMN","4.5 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.2303693415605, 149.0015100296188)","FULLSTON WAY"
"STRATHNAIRN","FORDE COLUMN","10.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.23187566326061, 148.99573618992497)","PRO HART AVENUE"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.31195280906611, 149.02994298643733)","THWAITES CRES"
"WHITLAM","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.26992860082323, 149.05081730688966)","JOHN GORTON DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.145793026045055, 149.09928477510832)","ROBIN BOYD CRESCENT"
"STRATHNAIRN","FORDE COLUMN","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.231641088731664, 149.00104790529795)","PRO HART AVENUE"
